id,importanceSampling
1,54.331342
2,57.197193
3,78.947193
4,38.730382
5,69.741747
6,76.956752
7,63.146271
8,81.979468
9,55.354105
10,65.372721
11,74.847825
12,40.979788
13,51.344917
14,37.194091
15,54.871827
16,126.689259
17,151.106063
18,142.718910
19,140.465988
20,128.006960
21,143.228608
22,130.678725
23,171.212378
24,130.193428
25,118.932347
26,137.838327
27,143.058068
28,142.293866
29,106.121932
30,138.033954
31,196.196873
32,157.218844
33,174.899791
34,175.070603
35,149.160565
36,140.745390
37,169.721606
38,162.583356
39,153.250981
40,178.130515
41,182.498949
42,194.754701
43,182.601791
44,196.240725
45,198.005236
