parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81914310332896,,0.00458495388257843,0.162636436481863
V1_pop,0.693316566568443,,0.0335097156473295,4.83324894617551
Q_pop,2.34107,,,
V2_pop,4.95029,,,
S_pop,20.0813835823987,,0.185412805385962,0.923306925666595
R0_pop,983.619729000462,,2.27372583528773,0.231159031102218
gamma_pop,0.435558297126903,,0.00210523953331795,0.483342768856627
MTT_pop,85.0282995868446,,0.151255245836587,0.177888122626868
omega_Cl,0.00267537486934476,0.267537965669037,nan,nan
omega_V1,0.321567198004449,33.0062043065888,0.0341879002037016,10.6316503722586
omega_Q,0.00680109279521244,0.680117144186845,0.00687009322867358,101.014549213469
omega_V2,0.0101580015520457,1.01582635960125,0.00631537393857875,62.1714212802705
omega_S,0.0115252468493705,1.15256295883901,0.0134432604047942,116.641843602062
omega_R0,0.00216450493569993,0.216450747091823,0.00136555904692674,63.0887471959108
omega_gamma,0.00629034063731736,0.629040286247796,0.00327865997013931,52.1221370856882
omega_MTT,0.00183040515443065,0.183040668755717,0.00101842703194593,55.6394320394447
bPK_central_drug_concentration,0.0887616568453087,,0.00135270540393315,1.5239749369377
acirculating_R,41.6278325929884,,0.629015379897555,1.51104523275974
