rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.80677,0.408943,2.30924,4.90338,19.8322,984.146,0.436177,85.4268
2,1,2.82771,0.41672,2.33574,4.8148,20.0222,980.032,0.43844,84.9928
3,1,2.82243,0.368589,2.35119,4.88363,19.8057,982.008,0.437928,85.0699
4,1,2.82124,0.409817,2.30555,4.92888,20.2265,982.124,0.434243,85.1249
5,1,2.81674,0.388775,2.34595,4.97577,20.0825,979.659,0.437353,85.1154
6,1,2.8227,0.385021,2.32351,4.84745,20.1759,986.062,0.437906,85.0192
7,1,2.81425,0.392646,2.34232,4.97538,20.0911,983.855,0.437948,84.6636
8,1,2.82137,0.419684,2.36414,4.97146,20.0914,981.753,0.431307,85.0877
9,1,2.81016,0.401779,2.33486,4.96021,20.0961,980.922,0.441221,85.2418
10,1,2.81375,0.387626,2.36287,5.03216,20.0598,984.347,0.438553,84.9777
1,2,2.83454,0.531575,2.34612,5.00226,20.0939,984.474,0.4356,85.3745
2,2,2.81451,0.529907,2.32151,4.89449,19.7053,984.827,0.439452,85.263
3,2,2.81423,0.499565,2.33282,4.94487,20.2328,982.376,0.436889,85.2424
4,2,2.82907,0.494942,2.34049,4.88024,20.0333,983.871,0.440524,85.0226
5,2,2.82117,0.536384,2.37124,4.86207,20.2662,981.556,0.436964,85.3291
6,2,2.82411,0.54119,2.35136,5.04591,20.0996,981.968,0.435369,85.0969
7,2,2.81393,0.493282,2.37354,4.94412,20.1568,982.657,0.434441,85.1889
8,2,2.82104,0.551939,2.32993,4.91474,19.7735,982.179,0.438972,85.2074
9,2,2.8304,0.504876,2.35978,5.04393,20.2127,985.615,0.436649,85.1791
10,2,2.81641,0.547642,2.36191,4.93916,19.6899,982.902,0.434088,85.138
1,3,2.82641,1.00773,2.32416,4.90984,20.034,982.168,0.437516,85.2781
2,3,2.82214,0.982567,2.32027,4.89863,20.2148,986.431,0.438013,85.2892
3,3,2.82195,0.887651,2.32194,4.95883,19.8843,985.057,0.434612,84.9345
4,3,2.81344,0.937372,2.36007,4.94009,19.6762,983.661,0.436376,84.9695
5,3,2.81496,0.954148,2.34018,4.98392,20.0473,981.355,0.434546,85.1003
6,3,2.81334,0.999757,2.31198,5.01402,19.6571,981.824,0.437111,85.1315
7,3,2.81594,0.923289,2.32785,4.90044,19.8418,980.314,0.434003,85.1006
8,3,2.82838,0.92541,2.34956,4.84912,19.9522,981.472,0.434543,85.2391
9,3,2.82547,0.96707,2.34845,4.90277,20.1344,979.459,0.439328,85.2765
10,3,2.81251,0.905268,2.33108,4.97167,19.7716,981.101,0.437453,85.4486
1,4,2.82333,0.741489,2.34261,4.92154,19.8862,983.717,0.431508,85.0785
2,4,2.81199,0.733808,2.33125,5.10206,20.2942,983.663,0.437601,85.1479
3,4,2.8177,0.662576,2.3287,4.91796,20.0721,980.34,0.438856,85.1272
4,4,2.82088,0.729614,2.37334,4.92456,19.9521,985.234,0.434792,85.1136
5,4,2.82827,0.693242,2.32224,4.99991,20.1466,982.031,0.437094,84.9884
6,4,2.82304,0.695589,2.34084,4.8789,20.2234,983.986,0.439613,85.3708
7,4,2.81504,0.733565,2.33181,5.00158,19.8582,985.386,0.435498,85.4518
8,4,2.81525,0.682453,2.34364,4.93952,20.2002,982,0.434007,84.9925
9,4,2.81117,0.731663,2.32214,4.92621,20.3072,981.004,0.436289,85.0834
10,4,2.81353,0.664259,2.32279,4.92754,19.9918,985.882,0.437425,85.0654
1,5,2.82181,1.18499,2.34002,4.84109,20.2077,982.248,0.439338,84.9926
2,5,2.82281,1.10607,2.3307,4.93918,20.1798,985.19,0.439294,85.1843
3,5,2.8209,1.13942,2.30638,4.95572,19.8727,986.839,0.439185,85.3819
4,5,2.82077,1.11909,2.35916,4.95156,20.0678,983.497,0.436257,85.179
5,5,2.82458,1.13903,2.36678,4.95448,19.831,983.641,0.441387,85.1077
6,5,2.81565,1.15602,2.35809,4.91854,20.2291,983.687,0.43705,85.1255
7,5,2.82713,1.18761,2.33297,4.78423,20.197,982.654,0.435958,85.3176
8,5,2.82154,1.15413,2.32516,4.93334,20.1693,986.583,0.43542,85.1488
9,5,2.81385,1.15323,2.37391,5.02832,20.4833,987.748,0.440031,85.3853
10,5,2.82686,1.16715,2.36605,4.91804,19.8502,985.545,0.434551,85.2146
1,6,2.82447,1.05679,2.36115,4.9336,20.2453,984.633,0.43575,85.0986
2,6,2.81649,1.0151,2.3561,4.83757,19.9155,984.003,0.435702,84.9341
3,6,2.81644,0.99309,2.32572,4.93906,20.0768,980.594,0.438782,85.3574
4,6,2.82332,1.01065,2.38482,4.98614,19.7071,983.978,0.434471,85.2716
5,6,2.82265,1.05661,2.34321,4.91327,19.8108,981.207,0.436324,85.3613
6,6,2.81309,1.0148,2.36239,4.93122,20.0664,982.58,0.436898,84.9573
7,6,2.82252,0.914807,2.33773,4.80742,19.7866,981.776,0.440756,85.1879
8,6,2.81872,1.07095,2.36603,5.0036,19.5818,982.276,0.436688,85.2363
9,6,2.82183,1.00462,2.32469,5.02372,20.0396,986.15,0.437107,84.902
10,6,2.81388,1.01736,2.3608,4.89934,19.9851,981.141,0.436065,85.2861
1,7,2.83025,0.755395,2.32154,4.96396,20.2295,982.982,0.437472,85.2009
2,7,2.81542,0.686508,2.34297,4.94219,20.2459,983.008,0.440056,85.2402
3,7,2.83185,0.749016,2.31665,5.00937,19.9149,985.122,0.433007,84.902
4,7,2.82211,0.717927,2.3582,4.91615,20.5622,982.913,0.43534,85.0801
5,7,2.82332,0.71508,2.30203,5.0148,20.1454,981.281,0.436522,85.0837
6,7,2.82244,0.750454,2.341,4.99009,20.1206,984.467,0.431737,85.1084
7,7,2.82694,0.764423,2.3463,4.9362,19.868,985.568,0.439492,85.1916
8,7,2.81479,0.703334,2.33226,4.95481,20.275,982.607,0.438677,85.2273
9,7,2.81278,0.719598,2.29224,4.99408,19.6895,981.519,0.438889,85.1692
10,7,2.81215,0.734655,2.30767,5.00308,20.0033,983.587,0.43917,85.1247
1,8,2.82053,1.01902,2.34738,4.99368,20.0633,983.752,0.436679,85.3012
2,8,2.81681,0.99906,2.3302,4.9577,19.5974,983.064,0.438383,85.2458
3,8,2.81805,0.960826,2.36711,5.01827,20.1197,982.748,0.439991,85.1107
4,8,2.81447,0.99124,2.344,4.93298,20.2038,981.527,0.438706,85.1604
5,8,2.8166,1.02795,2.36014,5.01069,19.8972,983.662,0.437567,85.1626
6,8,2.81585,1.02418,2.34155,4.94551,20.4565,982.953,0.435511,85.1124
7,8,2.81929,0.994404,2.35539,4.9684,19.7042,983.155,0.438592,84.9281
8,8,2.81912,1.00624,2.32919,4.901,20.0868,983.833,0.436029,85.3505
9,8,2.81081,1.00478,2.31708,4.95544,20.0132,985.641,0.435932,84.9405
10,8,2.81959,0.996927,2.34201,4.93656,20.0285,983.366,0.436425,84.9162
1,9,2.81859,0.884448,2.37593,4.86917,20.0538,981.406,0.431338,85.1548
2,9,2.82025,0.862786,2.34974,4.98196,20.4216,981.922,0.43752,85.2078
3,9,2.8261,0.892346,2.33536,4.82516,19.8374,980.308,0.435982,85.2605
4,9,2.82342,0.922466,2.32967,4.90682,20.4172,983.991,0.438456,85.3813
5,9,2.82532,0.824606,2.34027,4.85571,20.0333,981.286,0.436568,85.2726
6,9,2.8213,0.902427,2.35239,4.90868,20.0627,980.299,0.437349,85.1132
7,9,2.82307,0.880809,2.32858,4.98032,20.2864,981.814,0.438649,85.2214
8,9,2.81917,0.901747,2.37492,4.96698,19.8764,981.408,0.438316,85.0288
9,9,2.82045,0.95559,2.33023,4.94132,19.9476,987.119,0.43625,85.1444
10,9,2.82663,0.9169,2.3372,4.91025,20.041,980.395,0.436841,85.1841
1,10,2.81513,0.973099,2.35007,4.96607,20.0173,980.331,0.432173,85.1371
2,10,2.82397,0.909467,2.36877,4.78351,20.0806,984.628,0.435143,85.2896
3,10,2.81896,0.972135,2.31369,4.92358,20.0636,985.333,0.4378,85.0101
4,10,2.82111,0.938885,2.3492,4.90812,19.7496,986.709,0.439215,85.0723
5,10,2.83103,0.980556,2.37551,4.90158,19.8725,985.169,0.43297,84.9631
6,10,2.82063,0.963232,2.3489,4.96767,19.9722,981.546,0.43623,85.1948
7,10,2.82043,0.929997,2.37316,4.88096,20.0387,985.005,0.435674,85.2945
8,10,2.80674,0.91568,2.35242,4.95117,19.8882,985.394,0.436826,85.1301
9,10,2.81794,0.904517,2.3409,4.96674,19.8206,985.214,0.434482,85.2477
10,10,2.81312,0.921769,2.34787,4.9185,20.0051,984.713,0.436187,85.1006
1,11,2.81877,1.23465,2.34266,4.89758,20.1247,985.288,0.437711,85.1379
2,11,2.81474,1.37161,2.34541,5.01873,20.1923,981.584,0.435185,85.3366
