id,importanceSampling
1,54.590728
2,57.335656
3,79.069685
4,38.971204
5,70.092605
6,77.005316
7,63.121386
8,81.919902
9,55.008012
10,65.504765
11,74.646614
12,41.245032
13,51.220823
14,37.314071
15,54.910577
16,126.132228
17,150.688877
18,142.665272
19,140.490173
20,127.659818
21,143.336926
22,130.487491
23,170.976463
24,130.121831
25,119.039421
26,138.484929
27,142.943404
28,142.034538
29,105.991962
30,138.252455
31,196.455874
32,157.115023
33,174.821527
34,175.709815
35,149.271546
36,140.353530
37,169.132206
38,162.294048
39,153.324445
40,178.124140
41,182.641554
42,194.934743
43,182.213911
44,197.092564
45,197.869981
