parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81917497034203,,0.00653427741571892,0.231779775447075
V1_pop,0.693334025295929,,0.0333501521857422,4.81011330310924
Q_pop,2.34107,,,
V2_pop,4.94703929782194,,0.028729458287811,0.580740450160965
S_pop,20.0440317405014,,0.193751489066408,0.966629326748219
R0_pop,983.002559651996,,2.76352864303474,0.281131378133246
gamma_pop,0.437318158834589,,0.00315751953582572,0.722018848757664
MTT_pop,85.150959865266,,0.164037366969087,0.192643003941051
omega_Cl,0.00203845033434168,0.203845245191039,nan,nan
omega_V1,0.319401035976271,32.7722934090978,0.0337209795682395,10.5575673745607
omega_Q,0.00839808692317218,0.839823500013434,0.00569457659898418,67.8080216492113
omega_V2,0.0125100713229169,1.25105608013137,nan,nan
omega_S,0.00860888382630281,0.860904333606219,0.0112890049923721,131.132040112804
omega_R0,0.00185967535770561,0.185967696558076,0.00397945724613236,213.98666329816
omega_gamma,0.00497432040129003,0.497435117242877,0.00552845995861467,111.140005319741
omega_MTT,0.0015843034274463,0.158430442161056,nan,nan
bPK_central_drug_concentration,0.0887658779237417,,0.001351701826117,1.5227718778135
acirculating_R,41.6581976643473,,0.630602790525046,1.51375437700403
