rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.80594,0.399563,2.30761,4.9302,19.8963,983.648,0.438675,85.0361
2,1,2.81898,0.411709,2.33115,4.92122,20.079,981.379,0.436618,85.1752
3,1,2.81934,0.394366,2.3292,4.85847,19.926,984.216,0.438505,85.0201
4,1,2.82084,0.401255,2.32062,5.04638,19.9845,981.649,0.435328,85.1275
5,1,2.81095,0.384536,2.34948,5.02529,20.0033,980.968,0.43906,85.0969
6,1,2.80561,0.392924,2.32134,4.88935,20.1933,984.44,0.435642,84.9572
7,1,2.81171,0.380652,2.32226,4.92882,19.8666,983.113,0.436182,84.7638
8,1,2.8169,0.41574,2.33913,4.99675,20.2048,983.678,0.430355,84.9703
9,1,2.80973,0.397599,2.31627,5.00249,19.9226,981.582,0.442604,85.1756
10,1,2.80041,0.384364,2.3357,4.99584,19.6849,983.474,0.438566,85.1557
1,2,2.83277,0.529577,2.33633,5.00365,20.0262,983.327,0.435122,85.2969
2,2,2.81286,0.544772,2.32121,4.96626,19.8022,985.386,0.43802,85.1182
3,2,2.81357,0.496155,2.3478,4.9299,20.2156,980.901,0.435967,85.3142
4,2,2.82675,0.573394,2.32237,4.87343,19.894,981.4,0.436534,85.1035
5,2,2.81779,0.518662,2.3382,4.85284,20.2144,981.846,0.437123,85.2194
6,2,2.81593,0.486176,2.34297,5.01316,20.163,980.79,0.434453,85.0558
7,2,2.814,0.562643,2.35235,5.03517,20.0102,984.171,0.435751,84.9701
8,2,2.81401,0.515453,2.34637,4.93654,19.7872,982.663,0.437472,85.0838
9,2,2.82721,0.528151,2.33684,5.01371,20.1078,985.333,0.432782,85.2461
10,2,2.81735,0.503593,2.34421,4.98174,19.7978,983.843,0.435641,85.4409
1,3,2.81308,0.94597,2.32333,4.94195,19.9103,983.904,0.436545,85.1687
2,3,2.81985,0.930932,2.3155,4.95409,20.085,986.286,0.439358,85.2565
3,3,2.82546,0.915487,2.3379,4.964,19.9226,981.506,0.43326,85.0702
4,3,2.80862,0.955466,2.35199,4.98181,19.8752,984.464,0.436194,85.0243
5,3,2.80911,0.965609,2.34042,5.01525,20.0009,981.101,0.436208,85.0797
6,3,2.80662,0.998677,2.31269,5.01443,19.6295,981.807,0.437067,85.1171
7,3,2.81681,0.937104,2.32524,4.91888,19.6936,980.991,0.430862,85.0803
8,3,2.82632,0.921955,2.34088,4.85292,19.8923,981.541,0.433735,85.2223
9,3,2.8089,0.951449,2.34582,4.90237,19.8366,980.726,0.438236,85.1659
10,3,2.81219,0.922383,2.33445,4.92699,19.765,981.515,0.440169,85.4638
1,4,2.82024,0.739682,2.33407,4.92585,19.8277,983.688,0.429955,85.0627
2,4,2.80449,0.731725,2.32639,5.09646,20.192,983.707,0.437661,85.1242
3,4,2.81156,0.696982,2.35278,4.89297,20.0239,985.318,0.437007,85.0584
4,4,2.81664,0.727536,2.35465,4.92781,19.8866,985.169,0.434041,85.0993
5,4,2.8061,0.719022,2.31393,5.00187,20.0339,982.307,0.435452,85.1814
6,4,2.81882,0.68134,2.34952,4.91941,20.2579,982.205,0.439261,85.3084
7,4,2.81284,0.726995,2.32808,5.00285,19.8189,985.493,0.435225,85.3943
8,4,2.80935,0.683843,2.33223,4.93663,20.1062,982.193,0.433355,84.9895
9,4,2.80367,0.731911,2.3192,4.93332,20.2357,981.252,0.436248,85.0809
10,4,2.81739,0.722357,2.32836,4.89942,19.7417,985.273,0.435015,85.0145
1,5,2.82595,1.18239,2.32972,4.82807,20.08,981.341,0.437757,85.1106
2,5,2.81474,1.09491,2.33131,4.93641,20.0074,984.749,0.440399,85.1912
3,5,2.81829,1.09643,2.30326,4.98281,19.7514,983.937,0.441211,85.3093
4,5,2.81528,1.10347,2.3437,4.95175,19.8882,983.289,0.435743,85.2007
5,5,2.82091,1.13547,2.35044,4.95638,19.7852,979.658,0.438303,85.0917
6,5,2.81552,1.19859,2.3367,4.94086,20.0639,983.932,0.434454,85.2322
7,5,2.81023,1.17191,2.31664,4.80292,20.1668,982.226,0.433833,85.2176
8,5,2.819,1.12847,2.33669,4.89359,20.1005,985.507,0.435402,85.2899
9,5,2.80609,1.14748,2.35643,5.03019,20.1603,984.335,0.439468,85.3623
10,5,2.80489,1.13339,2.34862,4.85643,19.8352,983.618,0.434717,85.2939
1,6,2.81729,1.01733,2.34706,4.944,20.0969,984.623,0.435804,85.0445
2,6,2.80932,1.02362,2.32471,4.86005,19.9829,983.549,0.437396,84.9867
3,6,2.81376,1.02237,2.34092,4.91618,19.9998,981.065,0.438822,85.1668
4,6,2.81748,1.03399,2.34734,4.9823,19.8477,983.767,0.433644,85.1928
5,6,2.82111,1.05449,2.3313,4.94211,19.9154,981.79,0.436228,85.0855
6,6,2.81185,1.02584,2.34952,4.93582,20.0106,981.515,0.4324,84.9223
7,6,2.81764,0.902528,2.3241,4.85308,19.7957,982.812,0.441916,85.2167
8,6,2.80745,1.02288,2.32767,4.98562,19.5719,983.722,0.434989,85.2339
9,6,2.81191,0.98101,2.33406,5.02398,19.8881,984.307,0.435899,84.9438
10,6,2.80925,1.00747,2.33997,4.93519,19.9204,980.586,0.436393,85.2814
1,7,2.82285,0.736784,2.32802,4.9946,20.2323,985.446,0.438682,85.1198
2,7,2.81406,0.723231,2.31413,4.98731,20.051,983.31,0.44021,85.2939
3,7,2.83107,0.747558,2.3171,5.01069,19.8561,985.028,0.431583,84.8951
4,7,2.82194,0.71833,2.32957,4.91919,20.0573,982.621,0.432687,85.0107
5,7,2.81409,0.74185,2.31797,4.81241,20.0502,982.048,0.43951,85.1556
6,7,2.81083,0.771791,2.34099,4.98631,20.0757,983.417,0.439685,85.1742
7,7,2.83338,0.775684,2.33692,4.91487,19.7754,987.004,0.438137,85.2735
8,7,2.81319,0.749687,2.32915,4.98282,20.118,981.144,0.438091,85.258
9,7,2.80855,0.716305,2.30192,4.99859,19.7028,981.49,0.4382,85.2605
10,7,2.81181,0.742875,2.30604,5.03886,19.898,984.652,0.438051,85.0547
