id,importanceSampling
1,54.486759
2,57.541975
3,79.074441
4,39.065092
5,70.661179
6,77.295415
7,63.135927
8,82.160805
9,54.998006
10,65.606952
11,74.957181
12,41.331641
13,50.994432
14,37.387336
15,54.640761
16,126.000425
17,150.940405
18,142.906880
19,140.543457
20,127.213500
21,143.507420
22,130.270075
23,170.866252
24,129.575968
25,119.013004
26,137.928851
27,142.624473
28,142.454280
29,105.742752
30,138.504673
31,196.049020
32,157.026476
33,174.095835
34,176.200921
35,149.174704
36,140.547523
37,169.090773
38,162.710756
39,153.573396
40,177.828371
41,182.357716
42,194.769547
43,182.253018
44,196.982014
45,197.649474
