parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81424269403804,,0.01105321843315,0.392759958356333
V1_pop,0.691389275528844,,0.0334319210817112,4.83547001161381
Q_pop,2.33292641208711,,0.0269304407239898,1.15436306025173
V2_pop,4.95029,,,
S_pop,19.9728370929217,,0.534864438856303,2.67795925219786
R0_pop,983.031821058611,,1.35087773871287,0.137419533098952
gamma_pop,0.437400030435259,,nan,nan
MTT_pop,85.1357320864983,,0.283851391711924,0.333410408010034
omega_Cl,0.0026567042748081,0.265670896260827,0.0034591139549248,130.203199043471
omega_V1,0.319603831080558,32.7941817762529,0.0353130909991079,11.049019931869
omega_Q,0.00565505125239892,0.565509646427326,nan,nan
omega_V2,0.0118772737362532,1.18776926292246,0.00641776607729958,54.0339998876216
omega_S,0.00759739102024379,0.759750065257909,0.0121110522403568,159.410674112811
omega_R0,0.00178277925977697,0.17827806763186,0.00173266608253311,97.1890419428525
omega_gamma,0.00657663458250307,0.657670569649205,0.0026666087636735,40.546707137537
omega_MTT,0.00142852120232833,0.142852193113083,0.000921755634008459,64.5251629801574
bPK_central_drug_concentration,0.08881098021039,,0.00142785674045103,1.60774798011292
acirculating_R,41.6613597465177,,0.629148972341276,1.51014987549432
