rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.80705,0.411113,2.30979,4.92376,19.8122,983.41,0.436967,85.4595
2,1,2.82022,0.40562,2.32845,4.88488,20.4963,981.768,0.438399,84.8352
3,1,2.82013,0.385936,2.33514,4.9264,20.0838,985.694,0.436808,84.7368
4,1,2.82717,0.40336,2.32701,4.99802,20.2038,983.102,0.43226,85.0685
5,1,2.82325,0.38418,2.37429,5.02148,19.9784,980.722,0.438203,84.79
6,1,2.81725,0.380361,2.33593,4.81122,20.2612,983.766,0.438909,85.0625
7,1,2.81935,0.392294,2.31996,4.90605,20.0602,983.767,0.432526,84.4792
8,1,2.81998,0.413128,2.35432,4.97122,20.2765,984.662,0.430814,84.9336
9,1,2.81323,0.405661,2.32096,5.01317,20.132,981.998,0.440451,85.0485
10,1,2.81307,0.398094,2.34776,5.03692,19.9723,985.583,0.437033,84.8256
1,2,2.83952,0.530587,2.38612,5.00432,20.1305,984.007,0.43414,85.4164
2,2,2.83048,0.542077,2.31953,4.94592,20.1468,985.482,0.43774,85.3605
3,2,2.81701,0.514642,2.3355,4.89686,20.5804,981.922,0.436227,85.4625
4,2,2.83345,0.54668,2.32872,4.80221,19.9379,980.539,0.436865,85.1894
5,2,2.82045,0.524899,2.34231,4.9046,20.2765,982.774,0.43535,85.415
6,2,2.8196,0.505745,2.33746,5.01614,20.3685,984.418,0.432868,85.1899
7,2,2.82712,0.547003,2.37145,5.039,20.1955,983.13,0.431443,85.0135
8,2,2.81863,0.523268,2.36359,4.95074,19.7987,983.552,0.439172,85.0837
9,2,2.83227,0.523186,2.36156,5.01491,20.2921,987.006,0.432931,85.3656
10,2,2.8138,0.518187,2.36222,4.96162,20.1056,985.83,0.430344,85.2083
1,3,2.81956,0.950236,2.32678,4.94157,19.9642,984.688,0.435245,85.1159
2,3,2.82445,0.982794,2.32217,4.9042,20.2872,987.393,0.436903,85.2719
3,3,2.82428,0.888627,2.32311,4.96098,19.8517,985.72,0.433035,84.7529
4,3,2.81118,0.934669,2.34189,4.95672,19.9126,984.733,0.434521,84.914
5,3,2.81893,0.99918,2.34273,5.02026,20.0596,980.408,0.433007,84.9701
6,3,2.81278,0.971624,2.32167,4.98106,19.5104,982.234,0.43654,85.1634
7,3,2.82275,0.949135,2.34775,4.94439,19.9416,981.503,0.431033,84.9632
8,3,2.83291,0.927855,2.35217,4.85506,19.9471,982.025,0.432966,85.201
9,3,2.82038,0.986425,2.36744,5.0464,20.4448,979.931,0.43536,84.7867
10,3,2.81685,0.903245,2.35379,4.96036,19.7515,982.44,0.440641,85.5404
