id,importanceSampling
1,54.532103
2,57.225309
3,79.072219
4,38.833355
5,69.621291
6,77.098177
7,63.128263
8,81.965814
9,55.389778
10,65.324481
11,74.879628
12,41.057380
13,51.387164
14,37.307487
15,54.959748
16,126.703938
17,151.008691
18,142.909132
19,140.348008
20,128.054816
21,143.298419
22,130.747013
23,171.190582
24,130.197981
25,118.899048
26,138.190891
27,143.175185
28,141.536206
29,106.038766
30,137.772634
31,196.147958
32,157.438566
33,174.960747
34,175.249950
35,149.397894
36,140.927735
37,169.797712
38,162.513671
39,153.192479
40,178.308547
41,182.508219
42,194.909866
43,182.671805
44,196.243188
45,198.057281
