rep,id,Cl,V1,Q,V2,S,R0,gamma,MTT
1,1,2.82944,0.377261,2.34107,4.89644,20.0217,981.709,0.430866,84.8719
2,1,2.80819,0.362923,2.34107,5.02385,19.8792,983.02,0.442735,85.0198
3,1,2.83144,0.406067,2.34107,4.90348,20.2476,981.055,0.439448,85.1328
4,1,2.8192,0.395918,2.34107,4.93927,20.2318,984.083,0.434665,85.1111
5,1,2.81404,0.420247,2.34107,5.04446,19.9564,981.538,0.43433,85.151
6,1,2.81979,0.426248,2.34107,4.93213,20.1311,984.122,0.439069,84.9119
7,1,2.81254,0.409614,2.34107,4.95725,20.1074,983.998,0.437747,84.8747
8,1,2.81814,0.407205,2.34107,4.99502,20.401,985.705,0.437016,84.9038
9,1,2.81207,0.417329,2.34107,5.04015,20.0861,982.109,0.435952,85.0554
10,1,2.80018,0.416838,2.34107,5.03016,19.9849,981.478,0.431787,85.0902
1,2,2.82039,0.516384,2.34107,4.99613,19.4543,985.458,0.441486,84.8523
2,2,2.82568,0.555267,2.34107,4.94912,19.9764,983.045,0.435028,84.965
3,2,2.81547,0.51098,2.34107,4.99055,20.0358,982.64,0.434882,85.1857
4,2,2.81247,0.490986,2.34107,4.89721,19.9313,980.739,0.433212,84.9331
5,2,2.81365,0.505192,2.34107,5.008,20.6856,983.297,0.429089,85.2063
6,2,2.80574,0.551236,2.34107,5.00392,20.2487,982.74,0.434054,85.1375
7,2,2.81262,0.546044,2.34107,5.09541,19.9345,983.291,0.431355,85.12
8,2,2.81319,0.51675,2.34107,4.94865,19.7177,982.899,0.42925,84.8563
9,2,2.82206,0.576322,2.34107,5.0658,19.8288,981.8,0.440396,85.0808
10,2,2.80956,0.495715,2.34107,4.90609,19.6909,982.881,0.432277,85.2548
1,3,2.80264,0.888104,2.34107,4.88972,20.1538,981.732,0.432847,84.9349
2,3,2.81439,0.926488,2.34107,4.98589,20.347,983.508,0.437489,85.0144
3,3,2.82537,0.968939,2.34107,4.99321,20.0145,984.408,0.440656,84.957
4,3,2.82993,0.942131,2.34107,4.83201,20.6216,984.39,0.430363,85.1953
5,3,2.80891,0.957765,2.34107,4.98517,19.7118,983.875,0.429337,85.1234
6,3,2.82438,1.00724,2.34107,5.06604,20.0835,982.389,0.430403,85.0777
7,3,2.82187,1.00996,2.34107,5.02797,19.6453,980.01,0.43445,84.929
8,3,2.82161,0.927499,2.34107,5.01002,19.9224,980.482,0.436756,84.9684
9,3,2.81541,0.947922,2.34107,4.99649,20.6129,982.591,0.443031,85.027
10,3,2.83291,0.949365,2.34107,4.97185,19.676,981.542,0.432598,84.8226
1,4,2.821,0.737628,2.34107,4.97058,19.9994,981.257,0.437442,85.1803
2,4,2.8425,0.720453,2.34107,5.03026,19.7591,982.502,0.437132,85.3103
3,4,2.82262,0.71571,2.34107,5.10247,19.9933,983.835,0.431433,84.9441
4,4,2.80467,0.737585,2.34107,4.9832,20.3236,982.777,0.432893,84.9458
5,4,2.83338,0.753515,2.34107,4.98632,19.9504,982.088,0.441459,84.9819
6,4,2.82928,0.734379,2.34107,4.82951,20.0668,984.892,0.431172,84.8892
7,4,2.81371,0.700335,2.34107,4.96579,20.2004,985.235,0.434706,84.9103
8,4,2.80766,0.692163,2.34107,4.80976,19.9144,983.667,0.433486,84.8584
9,4,2.81369,0.696258,2.34107,4.88282,20.5041,982.861,0.435195,85.1704
10,4,2.83041,0.709634,2.34107,5.07474,20.1635,982.282,0.439131,84.987
1,5,2.80656,1.11577,2.34107,4.86019,20.0077,984.697,0.440266,85.0189
2,5,2.83304,1.09757,2.34107,4.79259,19.8719,980.554,0.439186,84.8592
3,5,2.82495,1.21508,2.34107,4.82921,19.972,982.848,0.433475,84.8172
4,5,2.81846,1.12369,2.34107,4.94102,19.9945,984.567,0.434619,84.7085
5,5,2.81701,1.24865,2.34107,4.97142,20.2539,983.739,0.439785,85.1328
6,5,2.82543,1.16942,2.34107,5.03917,20.3227,984.68,0.432263,85.0465
7,5,2.80889,1.12618,2.34107,4.97629,20.0015,983.745,0.433858,84.7185
8,5,2.8186,1.18745,2.34107,4.92233,20.0802,979.421,0.438695,85.0393
9,5,2.81555,1.1653,2.34107,4.95187,20.4163,982.71,0.432723,85.1051
10,5,2.81553,1.2286,2.34107,4.89588,20.4575,982.559,0.437056,84.7218
1,6,2.80415,1.00116,2.34107,4.95792,20.1022,982.168,0.4276,84.9654
2,6,2.81667,0.962655,2.34107,4.77807,20.0384,980.494,0.429635,84.8955
3,6,2.81554,0.98603,2.34107,4.91536,20.4222,981.601,0.433962,85.036
4,6,2.82459,1.03403,2.34107,4.93101,19.9119,980.043,0.433525,85.1315
5,6,2.81701,1.00314,2.34107,4.92186,19.6111,984.459,0.424274,84.9333
6,6,2.80978,0.93509,2.34107,4.77876,20.0006,982.979,0.435615,85.0737
7,6,2.82391,1.06448,2.34107,4.94657,20.0859,984.086,0.426165,84.914
8,6,2.80965,0.995505,2.34107,4.88741,19.9435,982.531,0.427681,85.1082
9,6,2.81708,1.01195,2.34107,4.84985,19.7685,983.22,0.433483,84.872
10,6,2.80663,0.991611,2.34107,4.94512,19.9329,981.493,0.432896,85.1364
1,7,2.81343,0.771327,2.34107,4.92586,19.9561,981.992,0.435893,85.3559
2,7,2.83321,0.734742,2.34107,4.82421,20.2527,986.008,0.428685,85.1453
3,7,2.80286,0.678921,2.34107,4.83118,20.1097,981.078,0.428255,85.1577
4,7,2.8377,0.761465,2.34107,5.00594,19.681,985.743,0.432401,85.0244
5,7,2.81747,0.696449,2.34107,5.0266,20.4041,981.869,0.431234,84.8771
6,7,2.81155,0.756621,2.34107,4.94633,19.6967,981.837,0.443978,84.7749
7,7,2.80885,0.719209,2.34107,4.91175,19.8374,985.134,0.436533,85.0649
8,7,2.82727,0.763601,2.34107,4.90205,20.1112,982.27,0.4374,85.0381
9,7,2.82897,0.701923,2.34107,4.98065,20.3074,983.74,0.438329,85.0798
