id,Cl_SAEM,V1_SAEM,Q_SAEM,V2_SAEM,R0_SAEM,kout_SAEM,IC50_SAEM,Cl_mean,V1_mean,Q_mean,V2_mean,R0_mean,kout_mean,IC50_mean,Cl_mode,V1_mode,Q_mode,V2_mode,R0_mode,kout_mode,IC50_mode,Cl_sd,V1_sd,Q_sd,V2_sd,R0_sd,kout_sd,IC50_sd
1,2.81452,0.394779,2.33302,4.94247,1112.23,0.00652541,2.71379e-10,2.81505,0.393661,2.33823,4.94728,1114.53,0.00673923,2.32544e-10,2.81486,0.392273,2.3345,4.94063,1114.14,0.00641183,2.12289e-10,0.00761678,0.0146437,0.0176178,0.0460191,6.00603,0.00124368,9.77617e-11
2,2.81557,0.521158,2.33883,4.93754,1113.64,0.00638497,2.43182e-10,2.81498,0.524138,2.33857,4.93592,1114.27,0.0064866,2.32445e-10,2.81552,0.521665,2.33842,4.9378,1114.16,0.00631928,2.12243e-10,0.0077605,0.0225953,0.020063,0.0451701,6.77416,0.00125741,1.12286e-10
3,2.81652,0.945464,2.32625,4.93891,1113.31,0.00671794,2.15951e-10,2.81723,0.955093,2.32557,4.93993,1113.48,0.00650416,2.28758e-10,2.81729,0.951897,2.32806,4.943,1114.15,0.00661111,2.12143e-10,0.00740774,0.0366219,0.0178704,0.0475005,6.09689,0.00124485,1.08684e-10
4,2.81514,0.698742,2.33221,4.92623,1113.63,0.00620106,2.5602e-10,2.81469,0.69966,2.33707,4.93504,1114.07,0.00637052,2.3102e-10,2.81635,0.702158,2.33449,4.93106,1114.31,0.00632387,2.14735e-10,0.00874556,0.0258525,0.0170355,0.0497449,6.16068,0.00122943,9.6572e-11
5,2.81466,1.14252,2.34012,4.8986,1113.07,0.00665984,2.40289e-10,2.81596,1.14297,2.33814,4.90347,1114.95,0.00668469,2.43979e-10,2.81536,1.14399,2.34089,4.90884,1114.52,0.00650309,2.16686e-10,0.0075939,0.0380316,0.0189412,0.0432118,5.86071,0.00126895,1.03995e-10
6,2.81522,1.01587,2.3396,4.91556,1113.84,0.00675781,2.31089e-10,2.81543,1.01029,2.34204,4.92112,1113.63,0.00666162,2.16795e-10,2.81583,1.01391,2.34028,4.92061,1113.97,0.0066329,2.12462e-10,0.0077219,0.0356574,0.018074,0.0476458,6.46855,0.00129053,1.00199e-10
7,2.81791,0.726309,2.32496,4.93705,1113.57,0.00606258,2.21344e-10,2.81816,0.730186,2.32548,4.94768,1113.98,0.00598845,2.3852e-10,2.81833,0.728645,2.32538,4.94102,1114.12,0.00607663,2.12613e-10,0.00825248,0.0248965,0.0189007,0.0477138,5.96615,0.00114225,9.05848e-11
8,2.81693,1.01511,2.33672,4.92464,1113.61,0.00623479,2.42613e-10,2.81858,1.01746,2.33523,4.92563,1113.8,0.00628739,2.43144e-10,2.8183,1.01642,2.33425,4.92869,1114.11,0.00624171,2.16074e-10,0.00768599,0.0410099,0.0190587,0.045106,6.50488,0.00122513,8.8235e-11
9,2.81771,0.879898,2.32891,4.93803,1113.94,0.00640559,2.17162e-10,2.81679,0.881805,2.33064,4.94072,1114.22,0.006431,2.30564e-10,2.81685,0.879892,2.32927,4.93527,1114.04,0.00614248,2.15516e-10,0.00791284,0.0311306,0.0178932,0.0478077,6.13651,0.00126827,9.97768e-11
10,2.8143,0.915936,2.34234,4.92365,1113.39,0.00609962,2.28759e-10,2.81586,0.921246,2.34121,4.92658,1114.54,0.006221,2.24644e-10,2.81476,0.918346,2.34168,4.92619,1114.4,0.00616312,2.17795e-10,0.00739398,0.0321415,0.0186274,0.0437258,5.66363,0.00112862,9.09885e-11
11,2.81632,1.3075,2.33993,4.92193,1113.37,0.00645007,2.11823e-10,2.81655,1.31352,2.34257,4.93554,1114.79,0.00641905,2.35399e-10,2.81596,1.30803,2.33981,4.93092,1114.07,0.00621309,2.14091e-10,0.00684332,0.0494065,0.0211476,0.0431973,6.27917,0.00114733,9.49967e-11
12,2.81325,0.57665,2.33507,4.92379,1113.1,0.00665869,2.50236e-10,2.81443,0.575292,2.33939,4.92991,1114.35,0.00639441,2.2326e-10,2.81455,0.575019,2.339,4.92912,1114.32,0.00631134,2.13672e-10,0.00783021,0.0199762,0.0177411,0.0459572,5.77866,0.00109873,1.08203e-10
13,2.8183,0.577582,2.32725,4.94974,1113.11,0.00648406,2.42773e-10,2.81592,0.575902,2.32674,4.94074,1113.74,0.00639508,2.21382e-10,2.81643,0.573119,2.32765,4.9478,1114.16,0.00625382,2.15014e-10,0.00770181,0.0196284,0.0179868,0.0447159,6.2024,0.00122873,8.84606e-11
14,2.81483,0.636065,2.33777,4.9332,1113.1,0.00638984,2.44907e-10,2.81575,0.638717,2.33742,4.93515,1113.61,0.0064662,2.28868e-10,2.81549,0.637987,2.33798,4.9328,1114.17,0.00639146,2.13506e-10,0.00886403,0.0232441,0.0181838,0.048132,5.57184,0.00125241,1.06023e-10
15,2.81189,0.641069,2.33458,4.93258,1113.77,0.00638909,2.45427e-10,2.81493,0.647707,2.33682,4.93757,1114.09,0.0061634,2.18156e-10,2.81454,0.643894,2.33737,4.93313,1114.17,0.00610557,2.13931e-10,0.00764695,0.0201013,0.0182026,0.0398156,6.17501,0.001356,8.34342e-11
