rep,id,Cl,V1,Q,V2,R0,kout,IC50
1,1,2.81222,0.375955,2.34828,4.94082,1115.09,0.00576747,2.47723e-10
2,1,2.79913,0.399191,2.35453,4.90512,1116.23,0.00733925,1.8446e-10
3,1,2.80482,0.40342,2.31818,4.88749,1106.42,0.00576893,2.49337e-10
4,1,2.83338,0.388253,2.32163,4.9984,1124.37,0.00789865,2.47379e-10
5,1,2.80807,0.383156,2.3281,4.94445,1117.02,0.00691678,1.05085e-10
6,1,2.81186,0.387733,2.31143,4.87726,1116.22,0.00589768,3.27946e-10
7,1,2.80576,0.396715,2.32984,4.97415,1109.03,0.0076969,4.32793e-10
8,1,2.80101,0.387797,2.34371,4.87112,1112.9,0.00603403,2.56813e-10
9,1,2.82236,0.39758,2.31763,4.92962,1108.28,0.00725665,2.69946e-10
10,1,2.8129,0.376894,2.35661,4.87219,1117.83,0.00480512,2.3773e-10
1,2,2.82325,0.556886,2.36681,4.88428,1111.49,0.00792869,2.23096e-10
2,2,2.80943,0.497799,2.34827,4.91677,1135.78,0.00621106,2.03366e-10
3,2,2.8065,0.528665,2.31999,4.94887,1108.19,0.008244,1.73564e-10
4,2,2.82269,0.551084,2.33051,4.91778,1119.56,0.00648594,2.017e-10
5,2,2.82526,0.522838,2.36988,4.89359,1125.02,0.00586681,3.04735e-10
6,2,2.81499,0.560146,2.32184,4.85334,1108.57,0.00613367,1.86016e-10
7,2,2.80507,0.525546,2.30996,4.95703,1129.78,0.00891047,3.11626e-10
8,2,2.81273,0.489886,2.32786,4.93219,1104.29,0.00785839,1.09662e-10
9,2,2.81626,0.487265,2.29064,4.85788,1118.16,0.00455071,1.1809e-10
10,2,2.79243,0.497457,2.34241,4.93935,1112.33,0.00549977,9.43403e-11
1,3,2.81733,0.929582,2.32734,4.95583,1112.88,0.00820301,2.34191e-10
2,3,2.81885,0.95766,2.32109,4.85195,1112.15,0.00636931,1.85666e-10
3,3,2.81619,0.965724,2.31484,4.94147,1113.03,0.00550617,3.52911e-10
4,3,2.81334,0.955352,2.3125,4.9725,1108.33,0.00818857,1.33163e-10
5,3,2.80734,0.998996,2.35918,4.94274,1112.91,0.00638321,1.77328e-10
6,3,2.8168,1.00262,2.33748,4.98761,1113.91,0.00783424,1.62583e-10
7,3,2.81513,1.0116,2.32416,4.93321,1111.45,0.00650107,1.23071e-10
8,3,2.81864,0.963362,2.33504,5.05229,1129.7,0.00576551,1.94225e-10
9,3,2.80326,0.991816,2.29509,4.9835,1115.42,0.00786678,1.88794e-10
10,3,2.82444,0.905011,2.35166,4.86866,1119.5,0.00503543,2.29692e-10
1,4,2.80603,0.686444,2.34275,4.99689,1118.55,0.00607618,2.05368e-10
2,4,2.82645,0.71487,2.36952,4.9626,1111.27,0.00851292,1.72477e-10
3,4,2.79811,0.666189,2.30709,4.91964,1116.19,0.0059908,2.7191e-10
4,4,2.80915,0.754327,2.33928,4.97188,1115.37,0.00556956,2.13961e-10
5,4,2.82492,0.709047,2.3283,4.92919,1112.31,0.00723908,2.02611e-10
6,4,2.81311,0.691609,2.31415,4.94363,1105.49,0.00451579,9.78236e-11
7,4,2.81869,0.669549,2.35811,4.91981,1111.23,0.00868072,4.49677e-10
8,4,2.81755,0.668951,2.36061,5.00085,1107.36,0.00624587,1.9842e-10
9,4,2.82503,0.672147,2.35105,4.98034,1104.5,0.00605919,2.23727e-10
10,4,2.82443,0.689028,2.34031,4.90357,1106.27,0.00683314,2.77826e-10
1,5,2.81863,1.12051,2.3369,4.79786,1113.97,0.00705125,3.68545e-10
2,5,2.81495,1.17841,2.32076,4.83559,1113.27,0.00703121,1.19759e-10
3,5,2.8076,1.17088,2.33243,4.90636,1120.6,0.00652206,2.96958e-10
4,5,2.81228,1.12363,2.3192,4.87304,1128.53,0.00654381,9.85054e-11
5,5,2.81977,1.18252,2.34513,4.93437,1112.76,0.00533252,3.23916e-10
6,5,2.8065,1.12819,2.31372,4.86506,1111.62,0.00588494,2.32848e-10
7,5,2.81861,1.22426,2.3336,4.94309,1108.65,0.00491141,3.55214e-10
8,5,2.8208,1.10975,2.36873,4.9313,1118.58,0.00615882,4.09829e-10
9,5,2.81249,1.04255,2.33562,4.83617,1123.61,0.00691297,1.41798e-10
10,5,2.81917,1.14936,2.33705,4.93935,1117.44,0.0051124,4.64462e-10
1,6,2.81494,1.03378,2.31136,4.88796,1120.82,0.00612746,1.20651e-10
2,6,2.82192,1.01741,2.34253,4.92117,1109.99,0.00696191,2.92887e-10
3,6,2.83161,0.991875,2.35402,4.91324,1112.73,0.00577251,1.91114e-10
4,6,2.8113,1.03504,2.3084,4.98246,1114.16,0.00589721,1.61116e-10
5,6,2.80239,0.989327,2.33286,4.99406,1122.25,0.00569963,1.08473e-10
6,6,2.80239,0.994958,2.33955,4.88229,1103.17,0.00592656,1.7011e-10
7,6,2.8223,1.02587,2.31873,4.8616,1109.28,0.00727492,1.94384e-10
8,6,2.81405,1.0064,2.36057,4.93079,1110.09,0.00733196,1.5912e-10
9,6,2.80709,0.956659,2.34857,4.91718,1116.23,0.00736841,1.48416e-10
10,6,2.81276,1.07283,2.3679,4.89788,1113.69,0.00569452,3.87212e-10
1,7,2.82777,0.694952,2.33752,4.97933,1113.32,0.00788056,3.75251e-10
2,7,2.81026,0.71125,2.30663,4.85164,1111.13,0.00547929,4.77146e-10
3,7,2.83088,0.724951,2.3237,4.87302,1110.15,0.00717592,3.99806e-10
4,7,2.82149,0.716591,2.31804,5.00711,1122.95,0.00300511,1.89934e-10
5,7,2.82394,0.770845,2.32047,4.99595,1105.73,0.00455118,1.78011e-10
6,7,2.82098,0.734341,2.32808,4.85727,1105.34,0.00713526,3.08242e-10
7,7,2.81411,0.710702,2.30956,4.96395,1109.92,0.00625031,2.11798e-10
8,7,2.81498,0.761919,2.29894,4.96232,1119.02,0.00430059,2.8716e-10
9,7,2.82041,0.746349,2.31251,4.93255,1111.29,0.00570319,1.55251e-10
10,7,2.82714,0.724532,2.31663,4.96794,1116.48,0.00580613,1.66407e-10
1,8,2.83141,1.0618,2.3298,4.96671,1111.83,0.00594896,3.29684e-10
2,8,2.81458,0.975733,2.33092,4.9483,1119.17,0.00870802,2.16484e-10
3,8,2.82169,0.958287,2.33779,4.94433,1117.45,0.0060141,3.31655e-10
4,8,2.82177,1.08594,2.30932,4.946,1105.79,0.00662295,2.15486e-10
5,8,2.81866,0.95709,2.31822,4.92392,1121.22,0.00494357,2.70913e-10
6,8,2.81959,1.02381,2.34114,4.92872,1111.53,0.00482186,2.35515e-10
7,8,2.81104,0.94645,2.35526,4.91323,1113.24,0.0069852,2.0572e-10
8,8,2.811,0.944267,2.34163,4.86235,1106.18,0.00811935,1.36972e-10
9,8,2.81579,1.01407,2.32811,4.94352,1116.81,0.00559948,2.32346e-10
10,8,2.82367,1.02999,2.31473,4.9418,1117.89,0.0063704,2.12098e-10
1,9,2.81561,0.924403,2.31249,4.94667,1101.72,0.00626148,3.15884e-10
2,9,2.82898,0.878836,2.35185,5.01496,1111.52,0.00637718,2.94045e-10
3,9,2.80877,0.866839,2.31641,4.90959,1112.04,0.00530283,1.81719e-10
4,9,2.81429,0.941411,2.32344,4.92493,1111.7,0.00576402,1.53927e-10
5,9,2.82316,0.903241,2.31092,4.95493,1114.44,0.00570928,3.00019e-10
6,9,2.81781,0.924763,2.31708,4.86999,1113.15,0.00785347,2.23257e-10
7,9,2.81472,0.889538,2.31453,4.89141,1114.26,0.00615876,2.21432e-10
8,9,2.83344,0.961861,2.32572,4.868,1104.9,0.00590016,2.83751e-10
9,9,2.81545,0.853834,2.34264,4.9466,1111.85,0.00681482,6.21121e-11
10,9,2.82526,0.864293,2.30306,4.96436,1119.91,0.00678213,2.74189e-10
1,10,2.80527,0.885721,2.35172,4.95047,1104.64,0.00547061,3.52451e-10
2,10,2.81407,0.912848,2.37136,4.91567,1108.72,0.00830402,2.1136e-10
3,10,2.81649,0.923397,2.31477,4.97717,1115.63,0.00552039,1.44489e-10
4,10,2.81056,0.897255,2.31597,4.91118,1120.87,0.0062468,2.1951e-10
5,10,2.82,0.887345,2.34231,4.92806,1111.76,0.00588875,2.43398e-10
6,10,2.82655,0.928298,2.33657,4.92792,1110.63,0.00548511,1.50187e-10
7,10,2.80902,0.906499,2.34549,4.93103,1118.17,0.00559047,2.83437e-10
8,10,2.81009,0.928033,2.32103,4.89168,1121.85,0.00413935,9.18843e-11
9,10,2.81688,0.936181,2.33291,4.85283,1117.6,0.00748255,1.36382e-10
10,10,2.81458,0.912738,2.34789,4.95399,1110.26,0.00610176,4.97103e-10
1,11,2.81091,1.4824,2.33213,4.94716,1114.25,0.00633361,3.61217e-10
2,11,2.82912,1.32556,2.3556,4.93916,1101.79,0.00847761,3.7969e-10
3,11,2.81247,1.28414,2.3664,4.91657,1118.36,0.00718088,1.15019e-10
4,11,2.81337,1.39918,2.35408,4.95687,1118.33,0.00567168,2.57499e-10
5,11,2.82134,1.34781,2.32459,4.88144,1120.67,0.00587813,2.21914e-10
