rep,id,eta_Cl,eta_V1,eta_Q,eta_V2,eta_R0,eta_kout,eta_IC50
1,1,-0.00131646,-0.60774,0.00615388,0.000929287,0.000414064,-0.290733,0.172615
2,1,-0.00598193,-0.547769,0.00881035,-0.00632344,0.00143701,-0.0497299,-0.122264
3,1,-0.00395127,-0.537231,-0.00674892,-0.00992477,-0.00738587,-0.29048,0.179111
4,1,0.00617838,-0.575552,-0.00526284,0.0125149,0.00870776,0.0237248,0.171225
5,1,-0.00279314,-0.588767,-0.00247762,0.00166193,0.00214462,-0.109016,-0.684925
6,1,-0.00144366,-0.576894,-0.00966671,-0.012019,0.00142873,-0.268408,0.453154
7,1,-0.00361456,-0.553991,-0.00173169,0.00765141,-0.00503405,-0.00214933,0.730565
8,1,-0.00531067,-0.576728,0.0042021,-0.01328,-0.00154967,-0.245552,0.208655
9,1,0.00228266,-0.551814,-0.0069861,-0.00134088,-0.00570536,-0.0610482,0.258527
10,1,-0.00107596,-0.605247,0.00969366,-0.0130588,0.00286948,-0.473286,0.131441
1,2,0.00259656,-0.21485,0.0140107,-0.0105805,-0.00282155,0.0275205,0.0679062
2,2,-0.00230866,-0.327014,0.00614683,-0.00395192,0.0188048,-0.216636,-0.0246855
3,2,-0.00335234,-0.266855,-0.00596832,0.00255524,-0.00579409,0.0665183,-0.183149
4,2,0.00240037,-0.225323,-0.00144436,-0.00374587,0.00441375,-0.17333,-0.032914
5,2,0.00331064,-0.277937,0.0153088,-0.00867725,0.00928366,-0.273656,0.379747
6,2,-0.000331958,-0.209012,-0.00516964,-0.0169352,-0.00544427,-0.229174,-0.113864
7,2,-0.00386296,-0.272773,-0.0103013,0.00420285,0.013502,0.14426,0.402108
8,2,-0.00113598,-0.343038,-0.00258146,-0.00081902,-0.00931503,0.0186147,-0.642294
9,2,0.000118355,-0.348402,-0.0187007,-0.0160003,0.00316206,-0.527684,-0.568244
10,2,-0.00837691,-0.3277,0.00365017,0.000631471,-0.00205926,-0.33826,-0.792787
1,3,0.000497483,0.297525,-0.00280488,0.00396196,-0.00156799,0.0615345,0.11644
2,3,0.00103863,0.327283,-0.00549564,-0.0172222,-0.00221955,-0.191475,-0.115748
3,3,9.35184e-05,0.335668,-0.00819084,0.00105981,-0.00143384,-0.337097,0.526522
4,3,-0.00091936,0.32487,-0.00920103,0.00732065,-0.00566377,0.0597729,-0.448119
5,3,-0.0030519,0.36954,0.0107851,0.00131631,-0.00154304,-0.189295,-0.161695
6,3,0.000309996,0.373161,0.00154278,0.010354,-0.000643624,0.0155374,-0.248504
7,3,-0.000282163,0.382082,-0.00417093,-0.000612652,-0.00285187,-0.171001,-0.52693
8,3,0.000964797,0.33322,0.000496307,0.0232379,0.0134357,-0.291074,-0.070679
