parameter,value,CV,se_sa,rse_sa
Cl_pop,2.81592437137621,,0.00631845702711967,0.224383051311555
V1_pop,0.690357700040223,,0.0336523860506574,4.87463036172359
Q_pop,2.33387744703085,,0.0195942059042968,0.839555904241006
V2_pop,4.93623565033888,,0.0494169996396319,1.00110697989549
R0_pop,1114.62566682794,,7.22170356920309,0.647903936193662
kout_pop,0.007713460756018,,0.000501550742754549,6.50227904981874
IC50_pop,2.08449181047351e-10,,7.99515829941408e-11,38.3554315696637
omega_Cl,0.00286625395955176,0.286625984642361,nan,nan
omega_V1,0.32030139642137,32.86948854949,0.0342316176922341,10.6873145339651
omega_Q,0.00861476663774885,0.861492647473666,0.0135753273398808,157.58206705676
omega_V2,0.00935391353755076,0.935411814808054,0.00665228446751773,71.1176604403334
omega_R0,0.00553375087173088,0.553379323618263,0.00920878948139322,166.411349098425
omega_kout,0.248928376733344,25.283485710466,0.0748118513755219,30.0535649479857
omega_IC50,0.419801639274846,43.8994790016773,0.221482579070491,52.758864746949
bPK_central_drug_concentration,0.0887154027856372,,0.00138923544393168,1.56594616076815
acirculating_R,238.113382676564,,3.61071008787237,1.51638267756538
