rep,id,eta_V,eta_Cl
1,1,-0.141717,0.0109809
2,1,-0.10959,0.0025493
3,1,-0.145241,0.00375918
4,1,-0.162299,0.000911697
5,1,-0.129953,-0.00408167
6,1,-0.165751,-0.00279277
7,1,-0.138538,0.00787136
8,1,-0.159179,0.00153855
9,1,-0.136949,0.0022961
10,1,-0.161818,-0.00400148
1,2,-0.334125,0.00701638
2,2,-0.357737,-0.00638579
3,2,-0.335419,-0.000911837
4,2,-0.3295,-0.000961884
5,2,-0.31006,0.00645788
6,2,-0.297884,0.00799098
7,2,-0.32259,0.00745758
8,2,-0.33712,-0.00489411
9,2,-0.359207,0.00224578
10,2,-0.338745,0.00231181
1,3,0.2955,0.00114827
2,3,0.289608,-0.00684548
3,3,0.347091,-0.0071063
4,3,0.289453,0.00179834
5,3,0.266031,0.00185955
6,3,0.311368,0.00189831
7,3,0.269105,0.00599356
8,3,0.349926,-0.00544459
9,3,0.262488,0.00127219
10,3,0.289973,-0.000139325
1,4,0.205998,-0.00460361
2,4,0.206363,-0.00303222
3,4,0.272128,0.0109751
4,4,0.208716,-0.00188086
5,4,0.221834,-0.000383516
6,4,0.19235,0.00175045
7,4,0.25426,-0.00100729
8,4,0.197303,-0.000133685
9,4,0.216208,-0.00225623
10,4,0.255724,-0.00271238
1,5,0.359993,-0.00235629
2,5,0.320763,-0.00316642
3,5,0.326506,-0.00219726
4,5,0.305257,0.00206647
5,5,0.326696,-0.000734614
6,5,0.323803,-0.00211816
7,5,0.282582,-0.00560123
8,5,0.35168,-0.0055194
9,5,0.298609,-0.00800897
10,5,0.31646,0.00246175
1,6,-0.273907,0.00410297
2,6,-0.301702,-0.000283493
3,6,-0.30573,-0.00495342
4,6,-0.274919,0.0011065
5,6,-0.31174,-0.00717164
6,6,-0.301666,0.00160681
7,6,-0.316199,-0.00274935
8,6,-0.319446,-0.0156428
9,6,-0.318421,-0.000445401
10,6,-0.322116,0.0014458
1,7,0.297766,-0.000134452
2,7,0.318495,-0.00349641
3,7,0.257042,-0.000429523
4,7,0.279787,-0.0041284
5,7,0.30251,0.00511949
6,7,0.280596,0.00110184
7,7,0.290453,0.00274378
8,7,0.266511,-0.00790987
9,7,0.328761,-0.00380046
10,7,0.299294,0.0022788
1,8,0.00582601,-0.0030157
2,8,0.0284905,-0.0037707
3,8,-0.0310373,-0.000476377
4,8,0.0124174,-0.00989877
5,8,-0.0184673,0.00182522
6,8,0.00484616,-0.00193638
7,8,-0.0251259,-0.00223668
8,8,-0.0240896,-0.000659589
9,8,0.00540596,0.0024294
10,8,0.0151898,-0.00137137
1,9,-0.359259,-0.00373667
2,9,-0.360646,-0.00396263
3,9,-0.325218,0.00451504
4,9,-0.325685,0.00159057
5,9,-0.351065,0.00773022
6,9,-0.355168,-0.00214455
7,9,-0.331604,-0.0021555
8,9,-0.332007,0.00814273
9,9,-0.361371,-0.00396946
10,9,-0.367273,-0.00264585
1,10,0.150725,0.000542225
2,10,0.170488,-0.00287536
3,10,0.142607,-0.00321084
4,10,0.138819,-0.000777442
5,10,0.0914538,0.00156528
6,10,0.144379,0.006507
7,10,0.11295,-0.0028731
8,10,0.134514,0.000808323
9,10,0.124901,-0.00719591
10,10,0.13749,-0.00272235
1,11,-0.127372,-0.00142741
2,11,-0.144213,-0.00368239
3,11,-0.129949,0.00215573
4,11,-0.124064,0.00403114
5,11,-0.153964,0.000215109
6,11,-0.127723,0.000648838
7,11,-0.118383,0.00173221
8,11,-0.149956,-0.000358955
9,11,-0.158274,-0.00597702
10,11,-0.136651,0.00734075
1,12,-0.195114,-0.000381516
2,12,-0.181639,0.00121493
3,12,-0.169055,-7.10626e-05
4,12,-0.202838,0.00230766
5,12,-0.226041,-0.00992929
6,12,-0.177918,-0.00315217
7,12,-0.209886,0.000235149
8,12,-0.18195,0.00882121
9,12,-0.189428,-0.00466485
10,12,-0.176792,0.00209052
1,13,0.386734,0.00473662
2,13,0.35909,-0.00111445
3,13,0.370008,-0.000212476
4,13,0.328935,-0.00397647
5,13,0.454074,0.0023125
6,13,0.422061,-0.00324838
7,13,0.396932,-0.00447827
8,13,0.423844,0.000840228
9,13,0.480641,0.00541168
10,13,0.364247,-0.00918693
1,14,-0.238984,0.000536255
2,14,-0.250312,-0.000274183
3,14,-0.249489,0.00221337
4,14,-0.253868,0.00358133
5,14,-0.244535,0.00476369
6,14,-0.254301,0.00109379
7,14,-0.252306,-0.00165664
8,14,-0.244989,0.00819235
9,14,-0.261458,0.00247159
10,14,-0.24877,0.00407843
1,15,0.237824,0.00500202
2,15,0.165381,-0.00410375
3,15,0.193314,-0.00793886
4,15,0.190486,-0.00401933
5,15,0.176765,-0.00407198
6,15,0.252274,-0.00686933
7,15,0.188757,0.000723372
8,15,0.19323,0.00406836
9,15,0.202154,-0.00825188
10,15,0.205434,-0.00791513
1,16,-0.378694,-0.00589038
2,16,-0.341468,0.00654164
3,16,-0.363923,-0.00775908
4,16,-0.366843,0.00514221
5,16,-0.369582,-0.00405383
6,16,-0.355222,0.00782405
7,16,-0.342189,0.00527157
8,16,-0.387351,-0.000881687
9,16,-0.34773,0.00476567
10,16,-0.360076,-0.000261229
1,17,0.320351,-0.00270727
2,17,0.299238,0.00288126
3,17,0.311177,0.00701014
4,17,0.319354,-0.00841858
5,17,0.302276,0.00441398
6,17,0.280807,0.00259938
7,17,0.323138,-0.00454846
8,17,0.307093,-0.00562075
9,17,0.300755,-0.00452946
10,17,0.289339,-0.00185525
1,18,0.18334,-0.00105191
2,18,0.223771,-0.00187833
3,18,0.195264,0.00469649
4,18,0.199952,0.00427136
5,18,0.20736,-0.00592867
6,18,0.17733,-0.00677877
7,18,0.170343,-0.00176244
8,18,0.212244,0.00177492
9,18,0.208853,0.00291557
10,18,0.207055,-0.00790976
1,19,0.317385,0.000536053
2,19,0.320854,-0.000952936
3,19,0.334355,0.00163386
4,19,0.335163,0.00249163
5,19,0.375512,-0.00237245
6,19,0.337111,-0.00324999
7,19,0.327089,0.00571171
8,19,0.344743,0.00566258
9,19,0.356088,-0.00283896
10,19,0.355634,-0.00204392
1,20,-0.315112,0.00220089
2,20,-0.302232,0.00343421
3,20,-0.323032,-0.00306551
4,20,-0.340308,-0.00117632
5,20,-0.345867,-0.00873481
6,20,-0.318088,6.79983e-05
7,20,-0.300276,0.00155693
8,20,-0.312447,-0.00196289
9,20,-0.310669,-0.00233546
10,20,-0.311873,3.59001e-05
1,21,0.280116,0.00162889
2,21,0.293426,-0.00243882
3,21,0.264668,0.0117923
4,21,0.287551,0.00129228
5,21,0.349531,0.00932648
6,21,0.312556,-0.00106917
7,21,0.354388,0.00636416
8,21,0.310186,0.00698569
9,21,0.339708,-0.00141414
10,21,0.320705,-0.000415906
1,22,0.00672459,-0.00514545
2,22,0.0197129,0.00121119
3,22,0.0351729,0.00369191
4,22,0.0280518,0.00130913
5,22,0.0249696,0.00573402
6,22,0.0531895,-0.0013651
7,22,0.031935,0.00147393
8,22,-0.00215754,0.0017891
9,22,0.00135723,0.00293203
10,22,0.0490114,-0.00403827
1,23,-0.378904,0.0012333
2,23,-0.364436,-0.0017635
3,23,-0.368897,0.000769721
4,23,-0.376605,0.00546897
5,23,-0.351734,0.000468361
6,23,-0.393618,-0.00866553
7,23,-0.358915,0.00271773
8,23,-0.356711,-0.00485432
9,23,-0.362386,0.00570085
10,23,-0.371918,-0.00212302
1,24,0.0824818,0.00221451
2,24,0.117288,0.000269353
3,24,0.108558,0.0036018
4,24,0.154651,0.00110597
5,24,0.101088,-0.00316353
6,24,0.145422,-0.00811262
7,24,0.128399,0.00334713
8,24,0.0733414,-0.00681958
9,24,0.150472,-0.00174279
10,24,0.142741,-0.00930296
1,25,-0.179988,0.00342302
2,25,-0.140692,0.000151371
3,25,-0.159379,0.00411188
4,25,-0.170222,-0.00313169
5,25,-0.17077,0.00269496
6,25,-0.154514,0.000671291
7,25,-0.146799,-0.0052472
8,25,-0.179184,-0.00107193
9,25,-0.157385,-0.00209452
10,25,-0.18663,-0.00326092
1,26,-0.203041,-0.00908387
2,26,-0.163982,-0.00322709
3,26,-0.172712,0.00566454
4,26,-0.172431,-0.00331947
5,26,-0.214604,-0.0114879
6,26,-0.196888,-0.00221241
7,26,-0.196596,4.30823e-05
8,26,-0.189293,-0.00163631
9,26,-0.185443,-0.0085927
10,26,-0.15153,0.00135142
1,27,0.405427,-0.00385722
2,27,0.420302,0.00128249
3,27,0.401374,-0.00477934
4,27,0.419263,-0.00762535
5,27,0.381445,-0.0059964
6,27,0.339292,0.00223282
7,27,0.379678,0.00170375
8,27,0.399662,-0.00844113
9,27,0.363124,0.00323071
10,27,0.422368,-0.00187654
1,28,-0.30958,-0.014698
2,28,-0.29165,0.00588637
3,28,-0.278849,-0.00717451
4,28,-0.312697,-0.0111629
5,28,-0.295222,-0.00403274
6,28,-0.281946,-0.00207565
7,28,-0.298238,-0.00443513
8,28,-0.277774,0.00484507
9,28,-0.296441,-0.00386009
10,28,-0.280054,-0.000889345
1,29,0.119771,-0.00575329
2,29,0.107399,-0.00420574
3,29,0.129613,-0.00146999
4,29,0.162245,0.00141888
5,29,0.122394,-0.00895279
6,29,0.144951,0.00255786
7,29,0.145157,0.00202008
8,29,0.128083,-0.00155091
9,29,0.137954,-0.00279026
10,29,0.157048,-0.00262644
1,30,-0.475378,0.00791737
2,30,-0.499045,0.00458993
3,30,-0.460789,0.000804929
4,30,-0.493547,0.00207317
5,30,-0.471453,0.00211886
6,30,-0.483379,0.00434639
7,30,-0.489515,-0.00270081
8,30,-0.47203,0.0107754
9,30,-0.483976,-0.00146666
10,30,-0.489529,0.00106278
1,31,0.221903,-0.00417767
2,31,0.249072,-0.00503735
3,31,0.286617,0.00439125
4,31,0.253079,0.00288915
5,31,0.251805,0.0042444
6,31,0.225211,-0.00580323
7,31,0.253254,0.00752779
8,31,0.280767,0.00237836
9,31,0.260171,0.00108606
10,31,0.244748,0.00558458
1,32,0.161875,-0.00545922
2,32,0.16991,0.00108705
3,32,0.156664,-0.00807146
4,32,0.16323,0.00456145
5,32,0.163065,-0.0061752
6,32,0.184347,0.00663102
7,32,0.168486,0.00496041
8,32,0.172563,0.00286301
9,32,0.154403,-0.00331765
10,32,0.14297,0.00491545
1,33,0.263491,0.00291291
2,33,0.323505,-0.00500334
3,33,0.299976,-0.00282955
4,33,0.299167,0.0041974
5,33,0.318753,-0.00227459
6,33,0.298767,-0.000642271
7,33,0.28322,0.00356473
8,33,0.29777,0.0041961
9,33,0.322697,0.00894364
10,33,0.291698,-0.00176145
1,34,-0.298986,0.00123268
2,34,-0.336926,-0.00733542
3,34,-0.296959,0.00640564
4,34,-0.293753,0.0087765
5,34,-0.321353,-0.0036056
6,34,-0.306172,0.00138817
7,34,-0.30592,-0.000618704
8,34,-0.299095,0.00342066
9,34,-0.308982,0.0069501
10,34,-0.311969,-0.0043319
