rep,id,V,Cl
1,1,6.39179,2.99888
2,1,6.39179,2.99888
1,2,6.39179,2.99888
2,2,6.39179,2.99888
1,3,6.39179,2.99888
2,3,6.39179,2.99888
1,4,6.39179,2.99888
2,4,6.39179,2.99888
1,5,6.39179,2.99888
2,5,6.39179,2.99888
1,6,6.39179,2.99888
2,6,6.39179,2.99888
1,7,6.39179,2.99888
2,7,6.39179,2.99888
1,8,6.39179,2.99888
2,8,6.39179,2.99888
1,9,6.39179,2.99888
2,9,6.39179,2.99888
1,10,6.39179,2.99888
2,10,6.39179,2.99888
1,11,6.39179,2.99888
2,11,6.39179,2.99888
1,12,6.39179,2.99888
2,12,6.39179,2.99888
1,13,6.39179,2.99888
2,13,6.39179,2.99888
1,14,6.39179,2.99888
2,14,6.39179,2.99888
1,15,6.39179,2.99888
2,15,6.39179,2.99888
1,16,6.39179,2.99888
2,16,6.39179,2.99888
1,17,6.39179,2.99888
2,17,6.39179,2.99888
1,18,6.39179,2.99888
2,18,6.39179,2.99888
1,19,6.39179,2.99888
2,19,6.39179,2.99888
1,20,6.39179,2.99888
2,20,6.39179,2.99888
1,21,6.39179,2.99888
2,21,6.39179,2.99888
1,22,6.39179,2.99888
2,22,6.39179,2.99888
1,23,6.39179,2.99888
2,23,6.39179,2.99888
1,24,6.39179,2.99888
2,24,6.39179,2.99888
1,25,6.39179,2.99888
2,25,6.39179,2.99888
1,26,6.39179,2.99888
2,26,6.39179,2.99888
1,27,6.39179,2.99888
2,27,6.39179,2.99888
1,28,6.39179,2.99888
2,28,6.39179,2.99888
1,29,6.39179,2.99888
2,29,6.39179,2.99888
1,30,6.39179,2.99888
2,30,6.39179,2.99888
1,31,6.39179,2.99888
2,31,6.39179,2.99888
1,32,6.39179,2.99888
2,32,6.39179,2.99888
1,33,6.39179,2.99888
2,33,6.39179,2.99888
1,34,6.39179,2.99888
2,34,6.39179,2.99888
1,35,6.39179,2.99888
2,35,6.39179,2.99888
1,36,6.39179,2.99888
2,36,6.39179,2.99888
1,37,6.39179,2.99888
2,37,6.39179,2.99888
1,38,6.39179,2.99888
2,38,6.39179,2.99888
1,39,6.39179,2.99888
2,39,6.39179,2.99888
1,40,6.39179,2.99888
2,40,6.39179,2.99888
1,41,6.39179,2.99888
2,41,6.39179,2.99888
1,42,6.39179,2.99888
2,42,6.39179,2.99888
1,43,6.39179,2.99888
2,43,6.39179,2.99888
1,44,6.39179,2.99888
2,44,6.39179,2.99888
1,45,6.39179,2.99888
2,45,6.39179,2.99888
