id,importanceSampling
1,-346.983624
2,-323.920666
3,-377.121321
4,-323.315518
5,-398.893097
6,-292.240345
7,-413.058845
8,-368.847814
9,-375.178981
10,-409.172211
11,-356.085485
12,-411.553957
13,-366.573160
14,-393.445386
15,-355.462421
16,-251.200346
17,-301.448955
18,-249.766343
19,-326.462960
20,-216.966197
21,-344.229618
22,-300.101137
23,-302.398823
24,-343.154284
25,-284.654152
26,-331.338983
27,-280.424475
28,-321.072503
29,-288.582532
30,-57.614619
31,-264.538012
32,-198.495753
33,-275.400544
34,-198.197644
35,-308.206368
36,-251.571150
37,-278.804973
38,-290.050019
39,-267.096200
40,-294.308844
41,-242.639083
42,-282.258770
43,-257.259864
44,-22.197628
45,-287.901640
