rep,id,V,Cl
1,1,0.738012,1.18764
2,1,0.738012,1.18282
3,1,0.738012,1.18268
4,1,0.738012,1.18507
5,1,0.738012,1.18408
6,1,0.738012,1.19106
7,1,0.738012,1.18523
8,1,0.738012,1.17541
9,1,0.738012,1.1861
10,1,0.738012,1.18639
1,2,0.738012,1.70496
2,2,0.738012,1.70907
3,2,0.738012,1.7031
4,2,0.738012,1.70342
5,2,0.738012,1.70916
6,2,0.738012,1.70158
7,2,0.738012,1.69108
8,2,0.738012,1.70349
9,2,0.738012,1.69512
10,2,0.738012,1.69966
1,3,0.738012,1.86737
2,3,0.738012,1.87737
3,3,0.738012,1.87141
4,3,0.738012,1.86488
5,3,0.738012,1.87195
6,3,0.738012,1.86659
7,3,0.738012,1.86458
8,3,0.738012,1.86356
9,3,0.738012,1.87211
10,3,0.738012,1.87493
1,4,0.738012,1.7185
2,4,0.738012,1.70729
3,4,0.738012,1.71122
4,4,0.738012,1.71883
5,4,0.738012,1.72605
6,4,0.738012,1.71531
7,4,0.738012,1.7247
8,4,0.738012,1.70982
9,4,0.738012,1.71794
10,4,0.738012,1.71334
1,5,0.738012,1.168
2,5,0.738012,1.17063
3,5,0.738012,1.1687
4,5,0.738012,1.16562
5,5,0.738012,1.1681
6,5,0.738012,1.17011
7,5,0.738012,1.17302
8,5,0.738012,1.17137
9,5,0.738012,1.16761
10,5,0.738012,1.1745
1,6,0.738012,1.19335
2,6,0.738012,1.19828
3,6,0.738012,1.1954
4,6,0.738012,1.19791
5,6,0.738012,1.20544
6,6,0.738012,1.20654
7,6,0.738012,1.19965
8,6,0.738012,1.2017
9,6,0.738012,1.1985
10,6,0.738012,1.20029
1,7,0.738012,1.77858
2,7,0.738012,1.78304
3,7,0.738012,1.77323
4,7,0.738012,1.78214
5,7,0.738012,1.78414
6,7,0.738012,1.77859
7,7,0.738012,1.77709
8,7,0.738012,1.7861
9,7,0.738012,1.78623
10,7,0.738012,1.78823
1,8,0.738012,1.23268
2,8,0.738012,1.24091
3,8,0.738012,1.24177
4,8,0.738012,1.23014
5,8,0.738012,1.24582
6,8,0.738012,1.23507
7,8,0.738012,1.22693
8,8,0.738012,1.2385
9,8,0.738012,1.23553
10,8,0.738012,1.23238
1,9,0.738012,1.57794
2,9,0.738012,1.5583
3,9,0.738012,1.57723
4,9,0.738012,1.55907
5,9,0.738012,1.56985
6,9,0.738012,1.5689
7,9,0.738012,1.56999
8,9,0.738012,1.56844
9,9,0.738012,1.57163
10,9,0.738012,1.57452
1,10,0.738012,1.91801
2,10,0.738012,1.90825
3,10,0.738012,1.91477
4,10,0.738012,1.91528
5,10,0.738012,1.92324
6,10,0.738012,1.92359
7,10,0.738012,1.9163
8,10,0.738012,1.91839
9,10,0.738012,1.91873
10,10,0.738012,1.9078
1,11,0.738012,1.64085
2,11,0.738012,1.6497
3,11,0.738012,1.64122
4,11,0.738012,1.64063
5,11,0.738012,1.63911
6,11,0.738012,1.63572
7,11,0.738012,1.64239
8,11,0.738012,1.64446
9,11,0.738012,1.63422
10,11,0.738012,1.62911
1,12,0.738012,1.70543
2,12,0.738012,1.71216
3,12,0.738012,1.69763
4,12,0.738012,1.70458
5,12,0.738012,1.7052
6,12,0.738012,1.69766
7,12,0.738012,1.7059
8,12,0.738012,1.71442
9,12,0.738012,1.69238
10,12,0.738012,1.71159
1,13,0.738012,1.14133
2,13,0.738012,1.13284
3,13,0.738012,1.13436
4,13,0.738012,1.14471
5,13,0.738012,1.14135
6,13,0.738012,1.13789
7,13,0.738012,1.13912
8,13,0.738012,1.14714
9,13,0.738012,1.13171
10,13,0.738012,1.14398
1,14,0.738012,1.68418
2,14,0.738012,1.69511
3,14,0.738012,1.69411
4,14,0.738012,1.69734
5,14,0.738012,1.69287
6,14,0.738012,1.69175
7,14,0.738012,1.69746
8,14,0.738012,1.6974
9,14,0.738012,1.69408
10,14,0.738012,1.68994
1,15,0.738012,1.27871
2,15,0.738012,1.28526
3,15,0.738012,1.27895
4,15,0.738012,1.28747
5,15,0.738012,1.28559
6,15,0.738012,1.27172
7,15,0.738012,1.27632
8,15,0.738012,1.28404
9,15,0.738012,1.27764
10,15,0.738012,1.26931
1,16,0.738012,1.70642
2,16,0.738012,1.70612
3,16,0.738012,1.71517
4,16,0.738012,1.70654
5,16,0.738012,1.70517
6,16,0.738012,1.70531
7,16,0.738012,1.70367
8,16,0.738012,1.70591
9,16,0.738012,1.70984
10,16,0.738012,1.70158
1,17,0.738012,1.88618
2,17,0.738012,1.87973
3,17,0.738012,1.88653
4,17,0.738012,1.87543
5,17,0.738012,1.88566
6,17,0.738012,1.88815
7,17,0.738012,1.89246
8,17,0.738012,1.89381
9,17,0.738012,1.90037
10,17,0.738012,1.89378
1,18,0.738012,1.72457
2,18,0.738012,1.70472
3,18,0.738012,1.71011
4,18,0.738012,1.71211
5,18,0.738012,1.71633
6,18,0.738012,1.71993
7,18,0.738012,1.71571
8,18,0.738012,1.71888
9,18,0.738012,1.71584
10,18,0.738012,1.71703
1,19,0.738012,1.18065
2,19,0.738012,1.17611
3,19,0.738012,1.16357
4,19,0.738012,1.17403
5,19,0.738012,1.16744
6,19,0.738012,1.16757
7,19,0.738012,1.17396
8,19,0.738012,1.16884
9,19,0.738012,1.17054
10,19,0.738012,1.17832
1,20,0.738012,1.19827
2,20,0.738012,1.2113
3,20,0.738012,1.20477
4,20,0.738012,1.20664
5,20,0.738012,1.21111
6,20,0.738012,1.20298
7,20,0.738012,1.19833
8,20,0.738012,1.20596
9,20,0.738012,1.2012
10,20,0.738012,1.20701
1,21,0.738012,1.78381
2,21,0.738012,1.79801
3,21,0.738012,1.77241
4,21,0.738012,1.78893
5,21,0.738012,1.78685
6,21,0.738012,1.78572
7,21,0.738012,1.77409
8,21,0.738012,1.77379
9,21,0.738012,1.78785
10,21,0.738012,1.781
1,22,0.738012,1.25312
2,22,0.738012,1.23687
3,22,0.738012,1.25524
4,22,0.738012,1.23771
5,22,0.738012,1.24391
6,22,0.738012,1.24726
7,22,0.738012,1.23934
8,22,0.738012,1.25183
9,22,0.738012,1.24274
10,22,0.738012,1.24333
1,23,0.738012,1.57492
2,23,0.738012,1.57245
3,23,0.738012,1.57434
4,23,0.738012,1.57918
5,23,0.738012,1.57273
6,23,0.738012,1.57703
7,23,0.738012,1.57657
8,23,0.738012,1.57382
9,23,0.738012,1.57692
10,23,0.738012,1.57033
1,24,0.738012,1.93436
2,24,0.738012,1.94265
3,24,0.738012,1.93178
4,24,0.738012,1.9243
5,24,0.738012,1.93198
6,24,0.738012,1.9344
7,24,0.738012,1.93467
8,24,0.738012,1.94721
9,24,0.738012,1.92899
10,24,0.738012,1.93664
1,25,0.738012,1.63797
2,25,0.738012,1.63333
3,25,0.738012,1.64191
4,25,0.738012,1.63919
5,25,0.738012,1.64895
6,25,0.738012,1.64095
7,25,0.738012,1.63724
8,25,0.738012,1.64163
9,25,0.738012,1.63851
10,25,0.738012,1.64246
1,26,0.738012,1.71387
2,26,0.738012,1.69372
3,26,0.738012,1.69385
4,26,0.738012,1.70885
5,26,0.738012,1.70397
6,26,0.738012,1.7021
7,26,0.738012,1.71565
8,26,0.738012,1.7058
9,26,0.738012,1.70444
10,26,0.738012,1.70475
1,27,0.738012,1.14173
2,27,0.738012,1.14059
3,27,0.738012,1.14154
4,27,0.738012,1.13535
5,27,0.738012,1.13702
6,27,0.738012,1.13357
7,27,0.738012,1.13597
8,27,0.738012,1.14712
9,27,0.738012,1.14576
10,27,0.738012,1.14752
1,28,0.738012,1.69664
2,28,0.738012,1.698
3,28,0.738012,1.6956
4,28,0.738012,1.70105
5,28,0.738012,1.68504
6,28,0.738012,1.6944
7,28,0.738012,1.69047
8,28,0.738012,1.69006
9,28,0.738012,1.70069
10,28,0.738012,1.69557
1,29,0.738012,1.28277
2,29,0.738012,1.28187
3,29,0.738012,1.27405
4,29,0.738012,1.28337
5,29,0.738012,1.28666
6,29,0.738012,1.27483
7,29,0.738012,1.27718
8,29,0.738012,1.27279
9,29,0.738012,1.2805
10,29,0.738012,1.28481
1,30,0.738012,1.73126
2,30,0.738012,1.74056
3,30,0.738012,1.73684
4,30,0.738012,1.72995
5,30,0.738012,1.73245
6,30,0.738012,1.73287
7,30,0.738012,1.73302
8,30,0.738012,1.71767
9,30,0.738012,1.73197
10,30,0.738012,1.73564
1,31,0.738012,1.89798
2,31,0.738012,1.90255
3,31,0.738012,1.88898
4,31,0.738012,1.89104
5,31,0.738012,1.89267
6,31,0.738012,1.89868
7,31,0.738012,1.89116
8,31,0.738012,1.89045
9,31,0.738012,1.89412
10,31,0.738012,1.89609
1,32,0.738012,1.72095
2,32,0.738012,1.71982
3,32,0.738012,1.7107
4,32,0.738012,1.71551
5,32,0.738012,1.72443
6,32,0.738012,1.71316
7,32,0.738012,1.70839
8,32,0.738012,1.71281
9,32,0.738012,1.71044
10,32,0.738012,1.70877
1,33,0.738012,1.17767
2,33,0.738012,1.16985
3,33,0.738012,1.16765
4,33,0.738012,1.16964
5,33,0.738012,1.16601
6,33,0.738012,1.17824
7,33,0.738012,1.17125
8,33,0.738012,1.17946
9,33,0.738012,1.16546
10,33,0.738012,1.16899
1,34,0.738012,1.20076
2,34,0.738012,1.20799
3,34,0.738012,1.20382
4,34,0.738012,1.19882
5,34,0.738012,1.19609
6,34,0.738012,1.21093
7,34,0.738012,1.21311
8,34,0.738012,1.20791
9,34,0.738012,1.21189
10,34,0.738012,1.21204
1,35,0.738012,1.7849
2,35,0.738012,1.78419
3,35,0.738012,1.79055
4,35,0.738012,1.7918
5,35,0.738012,1.77263
6,35,0.738012,1.7885
7,35,0.738012,1.78006
8,35,0.738012,1.78072
9,35,0.738012,1.78732
10,35,0.738012,1.78478
1,36,0.738012,1.24142
2,36,0.738012,1.2504
3,36,0.738012,1.23716
4,36,0.738012,1.24564
5,36,0.738012,1.24593
6,36,0.738012,1.23602
7,36,0.738012,1.23691
8,36,0.738012,1.24068
9,36,0.738012,1.23861
10,36,0.738012,1.23701
1,37,0.738012,1.5767
2,37,0.738012,1.57078
3,37,0.738012,1.57388
4,37,0.738012,1.57208
5,37,0.738012,1.57608
6,37,0.738012,1.57544
7,37,0.738012,1.57312
8,37,0.738012,1.57178
9,37,0.738012,1.57816
10,37,0.738012,1.56842
1,38,0.738012,1.93925
2,38,0.738012,1.93459
3,38,0.738012,1.93385
4,38,0.738012,1.93723
5,38,0.738012,1.931
6,38,0.738012,1.94084
7,38,0.738012,1.93699
8,38,0.738012,1.92549
9,38,0.738012,1.94339
10,38,0.738012,1.9297
1,39,0.738012,1.63609
2,39,0.738012,1.64584
3,39,0.738012,1.64869
4,39,0.738012,1.63778
5,39,0.738012,1.65109
6,39,0.738012,1.64883
7,39,0.738012,1.64607
8,39,0.738012,1.64367
9,39,0.738012,1.65326
10,39,0.738012,1.64649
1,40,0.738012,1.69993
2,40,0.738012,1.69804
3,40,0.738012,1.70465
4,40,0.738012,1.70448
5,40,0.738012,1.70698
6,40,0.738012,1.70736
7,40,0.738012,1.69445
8,40,0.738012,1.71077
9,40,0.738012,1.70774
10,40,0.738012,1.6963
1,41,0.738012,1.12021
2,41,0.738012,1.12683
3,41,0.738012,1.12162
4,41,0.738012,1.12342
5,41,0.738012,1.1324
6,41,0.738012,1.13731
7,41,0.738012,1.12263
8,41,0.738012,1.12431
9,41,0.738012,1.13105
10,41,0.738012,1.11795
1,42,0.738012,1.70068
2,42,0.738012,1.70582
3,42,0.738012,1.69328
4,42,0.738012,1.70531
5,42,0.738012,1.69102
6,42,0.738012,1.70224
7,42,0.738012,1.69743
8,42,0.738012,1.70095
9,42,0.738012,1.69915
10,42,0.738012,1.70434
1,43,0.738012,1.27356
2,43,0.738012,1.27614
3,43,0.738012,1.27441
4,43,0.738012,1.27739
5,43,0.738012,1.28505
6,43,0.738012,1.27351
7,43,0.738012,1.28074
8,43,0.738012,1.28438
9,43,0.738012,1.27782
10,43,0.738012,1.28159
1,44,0.738012,1.73356
2,44,0.738012,1.73874
3,44,0.738012,1.73549
4,44,0.738012,1.73509
5,44,0.738012,1.74145
6,44,0.738012,1.74825
7,44,0.738012,1.74628
8,44,0.738012,1.73759
9,44,0.738012,1.73987
10,44,0.738012,1.74026
1,45,0.738012,2.0981
2,45,0.738012,2.09241
3,45,0.738012,2.09812
4,45,0.738012,2.08604
5,45,0.738012,2.08507
6,45,0.738012,2.08707
7,45,0.738012,2.09716
8,45,0.738012,2.09352
9,45,0.738012,2.0872
10,45,0.738012,2.09731
