rep,id,V,Cl
1,1,0.892195,1.38375
2,1,0.887448,1.36998
3,1,0.909829,1.40337
4,1,0.891625,1.37824
5,1,0.902186,1.388
6,1,0.90822,1.39828
7,1,0.89741,1.38358
8,1,0.901008,1.39208
9,1,0.898936,1.39276
10,1,0.890967,1.37795
1,2,0.603911,1.42626
2,2,0.605035,1.43008
3,2,0.604172,1.43035
4,2,0.607227,1.43684
5,2,0.605318,1.42527
6,2,0.602764,1.42443
7,2,0.604537,1.42791
8,2,0.604405,1.4251
9,2,0.595614,1.40941
10,2,0.603908,1.42811
1,3,0.557707,1.45044
2,3,0.561265,1.46341
3,3,0.559675,1.45895
4,3,0.567196,1.47556
5,3,0.559955,1.46096
6,3,0.568529,1.48068
7,3,0.567713,1.47776
8,3,0.568935,1.47816
9,3,0.563725,1.47246
10,3,0.564474,1.46881
1,4,0.578629,1.38318
2,4,0.603689,1.43331
3,4,0.585699,1.40426
4,4,0.593575,1.41432
5,4,0.583901,1.39647
6,4,0.602062,1.43477
7,4,0.588195,1.39868
8,4,0.609816,1.4456
9,4,0.593647,1.41432
10,4,0.60956,1.44991
1,5,0.943546,1.4227
2,5,0.926823,1.40246
3,5,0.941932,1.42768
4,5,0.93502,1.41868
5,5,0.945116,1.42315
6,5,0.935104,1.41469
7,5,0.925712,1.4163
8,5,0.937017,1.4173
9,5,0.929381,1.41229
10,5,0.93224,1.42178
1,6,0.879543,1.38797
2,6,0.906302,1.41715
3,6,0.878718,1.38206
4,6,0.90343,1.41081
5,6,0.884341,1.39502
6,6,0.896817,1.40004
7,6,0.889367,1.3987
8,6,0.876419,1.38174
9,6,0.885077,1.38804
10,6,0.874069,1.37344
1,7,0.548596,1.37332
2,7,0.554214,1.38431
3,7,0.552948,1.37949
4,7,0.570938,1.4221
5,7,0.55159,1.37988
6,7,0.566109,1.41358
7,7,0.553304,1.38574
8,7,0.564951,1.40759
9,7,0.549096,1.37566
10,7,0.564499,1.40736
1,8,0.873427,1.41792
2,8,0.875689,1.42138
3,8,0.86881,1.41841
4,8,0.876015,1.4217
5,8,0.854913,1.38836
6,8,0.873433,1.41411
7,8,0.865618,1.40302
8,8,0.852337,1.39677
9,8,0.857084,1.39206
10,8,0.854182,1.39291
1,9,0.647765,1.4017
2,9,0.654334,1.41643
3,9,0.640262,1.38475
4,9,0.654886,1.4155
5,9,0.645452,1.39882
