rep,id,eta_V,eta_Cl
1,1,0.283431,-0.0128831
2,1,0.278096,-0.0228898
3,1,0.303003,0.00119016
4,1,0.282792,-0.0168778
5,1,0.294568,-0.00982113
6,1,0.301233,-0.00243902
7,1,0.289259,-0.0130095
8,1,0.29326,-0.00688246
9,1,0.290958,-0.00639679
10,1,0.282054,-0.0170897
1,2,-0.106827,0.0173705
2,2,-0.104966,0.0200485
3,2,-0.106395,0.0202386
4,2,-0.101351,0.0247659
5,2,-0.1045,0.0166784
6,2,-0.108728,0.0160881
7,2,-0.105791,0.018531
8,2,-0.106009,0.0165606
9,2,-0.12066,0.00549029
10,2,-0.106832,0.0186656
1,3,-0.18642,0.0341797
2,3,-0.18006,0.0430873
3,3,-0.182897,0.0400329
4,3,-0.169549,0.0513528
5,3,-0.182397,0.0414102
6,3,-0.167202,0.0548167
7,3,-0.168637,0.052843
8,3,-0.166488,0.0531141
9,3,-0.175687,0.0492534
10,3,-0.174359,0.0467665
1,4,-0.149592,-0.0132991
2,4,-0.107194,0.0223018
3,4,-0.137447,0.00182684
4,4,-0.12409,0.00896156
5,4,-0.140521,-0.0037391
6,4,-0.109893,0.0233233
7,4,-0.133195,-0.00215585
8,4,-0.0970963,0.0308407
9,4,-0.123969,0.00896421
10,4,-0.0975162,0.0338173
1,5,0.339392,0.0148715
2,5,0.32151,0.000543189
3,5,0.337679,0.0183647
4,5,0.330314,0.012044
5,5,0.341054,0.0151904
6,5,0.330404,0.0092289
7,5,0.32031,0.0103662
8,5,0.332447,0.0110703
9,5,0.324265,0.00752634
10,5,0.327337,0.014226
1,6,0.269149,-0.00984406
2,6,0.29912,0.0109674
3,6,0.26821,-0.0141079
4,6,0.295945,0.00648177
5,6,0.274589,-0.00477541
6,6,0.288598,-0.00118153
7,6,0.280256,-0.0021422
8,6,0.265591,-0.0143409
9,6,0.275421,-0.0097881
10,6,0.262906,-0.0203686
1,7,-0.202891,-0.0204524
2,7,-0.192702,-0.0124811
3,7,-0.19499,-0.0159723
4,7,-0.162972,0.0144501
5,7,-0.197448,-0.0156837
6,7,-0.171467,0.00844015
7,7,-0.194347,-0.0114486
8,7,-0.173515,0.00419666
9,7,-0.201981,-0.018752
10,7,-0.174315,0.00403102
1,8,0.262172,0.0115089
2,8,0.264757,0.0139438
3,8,0.25687,0.0118532
4,8,0.265129,0.0141719
5,8,0.240746,-0.00956159
6,8,0.262178,0.00881604
7,8,0.25319,0.000945131
8,8,0.237728,-0.00351882
9,8,0.243282,-0.00689729
10,8,0.239891,-0.00628774
1,9,-0.036726,4.07081e-06
2,9,-0.0266361,0.0104569
3,9,-0.0483757,-0.0121625
4,9,-0.0257929,0.00980004
5,9,-0.0403029,-0.00205743
6,9,-0.0181616,0.0159371
7,9,-0.0512497,-0.00981799
8,9,-0.0141253,0.0211437
9,9,-0.0565316,-0.0159495
10,9,-0.0469726,-0.0106522
1,10,-0.219409,0.0333355
2,10,-0.21885,0.0292895
3,10,-0.222933,0.0288015
4,10,-0.220149,0.0329738
5,10,-0.216858,0.0341874
6,10,-0.221532,0.0331406
7,10,-0.2251,0.0289382
8,10,-0.217211,0.0354585
9,10,-0.219188,0.0319383
10,10,-0.219443,0.0314992
1,11,-0.055227,0.0250108
2,11,-0.0726262,0.0149256
3,11,-0.0631799,0.0226389
4,11,-0.0771357,0.0109838
5,11,-0.0767226,0.00921385
6,11,-0.0952191,-0.0106276
7,11,-0.0872849,0.000225378
8,11,-0.094501,-0.00700226
9,11,-0.0817099,0.0064808
10,11,-0.0757748,0.0115526
1,12,-0.135925,-0.00666179
2,12,-0.155125,-0.025502
3,12,-0.140674,-0.0102148
4,12,-0.15573,-0.0263174
5,12,-0.134589,-0.00217123
6,12,-0.165364,-0.0327716
7,12,-0.128767,-0.00120875
8,12,-0.135782,-0.00918637
9,12,-0.124506,0.00278564
10,12,-0.127311,2.50497e-05
1,13,0.362843,0.0115917
2,13,0.394275,0.0316685
3,13,0.359789,0.00488295
4,13,0.363303,0.00429481
5,13,0.356884,0.00564162
6,13,0.378806,0.0202827
7,13,0.348841,-0.00360102
8,13,0.382722,0.0258208
9,13,0.346932,-0.00365834
10,13,0.324019,-0.0241721
1,14,-0.0779179,0.0401257
2,14,-0.0990944,0.014027
3,14,-0.088703,0.0310729
4,14,-0.0981214,0.0195423
5,14,-0.0970547,0.0227565
6,14,-0.107185,0.0153417
7,14,-0.101302,0.0185871
8,14,-0.10354,0.0154257
9,14,-0.101379,0.0170283
10,14,-0.104174,0.0191415
1,15,0.179695,-0.0233524
2,15,0.164978,-0.0281649
3,15,0.188058,-0.0122816
4,15,0.216249,0.00828675
5,15,0.185611,-0.0138323
6,15,0.213599,0.00435795
7,15,0.18659,-0.0121816
8,15,0.19615,-0.00450231
9,15,0.194773,-0.0080647
10,15,0.208775,0.00383112
1,16,-0.137101,-0.000817685
2,16,-0.144499,-0.0109733
3,16,-0.14491,-0.0080781
4,16,-0.146264,-0.011137
5,16,-0.15688,-0.0234025
6,16,-0.128054,0.00250426
7,16,-0.170883,-0.0344052
8,16,-0.12528,0.00566972
9,16,-0.176591,-0.0375492
10,16,-0.122518,0.0068008
1,17,-0.194465,0.0458777
2,17,-0.218479,0.0239037
3,17,-0.193669,0.045373
4,17,-0.225133,0.0171724
5,17,-0.238152,0.00601763
6,17,-0.222204,0.0210212
7,17,-0.238075,0.00224144
8,17,-0.213624,0.0303076
9,17,-0.23732,0.00476798
10,17,-0.216076,0.0275101
1,18,-0.146969,-0.0123163
2,18,-0.13315,0.00197377
3,18,-0.151866,-0.0123717
4,18,-0.146193,-0.00993465
5,18,-0.148869,-0.0125832
6,18,-0.143956,-0.00714578
7,18,-0.151338,-0.0140718
8,18,-0.13958,-0.0030678
9,18,-0.147325,-0.00638808
10,18,-0.138072,-0.00243666
1,19,0.295241,-0.0164903
2,19,0.286248,-0.0256855
3,19,0.277313,-0.0335532
4,19,0.296548,-0.0213673
5,19,0.279168,-0.032234
6,19,0.31643,0.000542481
7,19,0.279075,-0.0336653
8,19,0.327677,0.00465449
9,19,0.283613,-0.028448
10,19,0.311163,0.000243262
1,20,0.264559,-0.0106707
2,20,0.310578,0.0232508
3,20,0.259929,-0.0150921
4,20,0.311339,0.021005
5,20,0.251075,-0.0224616
6,20,0.299696,0.0160929
7,20,0.257477,-0.0253584
