id,importanceSampling
1,-474.918759
2,-613.906198
3,-596.616890
4,-641.824185
5,-457.916131
6,-464.182894
7,-648.075465
8,-483.233027
9,-581.816538
10,-651.493152
11,-614.088217
12,-608.932307
13,-458.519162
14,-648.452869
15,-490.531421
16,-561.926022
17,-630.100291
18,-570.529656
19,-400.484753
20,-388.133125
21,-575.524217
22,-411.438352
23,-533.024769
24,-623.851783
25,-554.038029
26,-559.423897
27,-395.366229
28,-558.830793
29,-423.352869
30,-575.784923
31,-570.680468
32,-526.593635
33,-348.468001
34,-354.042658
35,-553.535658
36,-362.073757
37,-480.946797
38,-596.726679
39,-504.407204
40,-521.190875
41,-339.555771
42,-521.402448
43,-389.697618
44,-529.768008
45,-627.232420
