rep,id,eta_V,eta_Cl
1,1,0.299964,0
2,1,0.300275,0
3,1,0.299885,0
4,1,0.303979,0
5,1,0.300644,0
6,1,0.307586,0
7,1,0.30578,0
8,1,0.301508,0
9,1,0.305321,0
10,1,0.307445,0
1,2,-0.128521,0
2,2,-0.126709,0
3,2,-0.128347,0
4,2,-0.127502,0
5,2,-0.130268,0
6,2,-0.123877,0
7,2,-0.130035,0
8,2,-0.130544,0
9,2,-0.126489,0
10,2,-0.126803,0
1,3,-0.228436,0
2,3,-0.227669,0
3,3,-0.228246,0
4,3,-0.226999,0
5,3,-0.227554,0
6,3,-0.229589,0
7,3,-0.225392,0
8,3,-0.225183,0
9,3,-0.224711,0
10,3,-0.228684,0
1,4,-0.137349,0
2,4,-0.132698,0
3,4,-0.131007,0
4,4,-0.131207,0
5,4,-0.131568,0
6,4,-0.132806,0
7,4,-0.134306,0
8,4,-0.136726,0
9,4,-0.136512,0
10,4,-0.136587,0
1,5,0.316559,0
2,5,0.314432,0
3,5,0.318802,0
4,5,0.319456,0
5,5,0.318676,0
6,5,0.309321,0
7,5,0.315291,0
8,5,0.315938,0
9,5,0.32501,0
10,5,0.314746,0
1,6,0.282991,0
2,6,0.285298,0
3,6,0.290517,0
4,6,0.283475,0
5,6,0.286973,0
6,6,0.29067,0
7,6,0.285282,0
8,6,0.288276,0
9,6,0.286173,0
10,6,0.285477,0
1,7,-0.181941,0
2,7,-0.178894,0
3,7,-0.17745,0
4,7,-0.180351,0
5,7,-0.180291,0
6,7,-0.177273,0
7,7,-0.175053,0
8,7,-0.176404,0
9,7,-0.180953,0
10,7,-0.180317,0
1,8,0.247219,0
2,8,0.242237,0
3,8,0.249409,0
4,8,0.243853,0
5,8,0.243556,0
6,8,0.24762,0
7,8,0.245326,0
8,8,0.24514,0
9,8,0.246578,0
10,8,0.244041,0
1,9,-0.0349508,0
2,9,-0.0368266,0
3,9,-0.0331948,0
4,9,-0.0375851,0
5,9,-0.0353787,0
6,9,-0.0401673,0
7,9,-0.0380792,0
8,9,-0.0359617,0
9,9,-0.038755,0
10,9,-0.0371131,0
1,10,-0.253209,0
2,10,-0.253283,0
3,10,-0.252035,0
4,10,-0.255375,0
5,10,-0.254205,0
6,10,-0.252648,0
7,10,-0.253314,0
8,10,-0.256654,0
9,10,-0.254052,0
10,10,-0.256875,0
1,11,-0.0863981,0
2,11,-0.0871816,0
3,11,-0.0882009,0
4,11,-0.0902962,0
5,11,-0.0871461,0
6,11,-0.0864478,0
7,11,-0.0904172,0
8,11,-0.0901722,0
9,11,-0.0901369,0
10,11,-0.0890197,0
