id,importanceSampling
1,-475.712859
2,-614.577334
3,-597.941080
4,-642.104141
5,-458.769249
6,-462.517652
7,-648.315927
8,-483.982613
9,-582.102200
10,-649.518187
11,-614.163812
12,-609.341032
13,-458.242544
14,-648.374272
15,-490.855011
16,-562.337548
17,-630.467189
18,-570.081276
19,-399.364325
20,-388.609236
21,-576.031795
22,-407.893115
23,-531.048363
24,-624.553708
25,-554.112269
26,-557.984568
27,-394.158898
28,-559.040869
29,-420.599321
30,-576.060916
31,-571.529140
32,-526.155319
33,-348.110433
34,-353.456506
35,-553.526613
36,-361.838061
37,-481.209208
38,-596.848209
39,-503.738025
40,-521.534632
41,-339.193034
42,-521.786878
43,-388.078429
44,-529.902661
45,-626.787696
