rep,id,eta_V,eta_Cl
1,1,-0.0600594,0
2,1,-0.0390125,0
3,1,-0.00377875,0
4,1,-0.0468001,0
5,1,-0.0521772,0
6,1,-0.0602374,0
7,1,-0.041007,0
8,1,-0.0443923,0
9,1,-0.0526526,0
10,1,-0.0348052,0
1,2,-0.365033,0
2,2,-0.391626,0
3,2,-0.365033,0
4,2,-0.382097,0
5,2,-0.369044,0
6,2,-0.374083,0
7,2,-0.381499,0
8,2,-0.386,0
9,2,-0.38133,0
10,2,-0.361632,0
1,3,0.599695,0
2,3,0.635742,0
3,3,0.567035,0
4,3,0.629689,0
5,3,0.613021,0
6,3,0.583069,0
7,3,0.613525,0
8,3,0.630395,0
9,3,0.610255,0
10,3,0.57687,0
1,4,0.912517,0
2,4,0.779973,0
3,4,0.915917,0
4,4,0.837985,0
5,4,0.865663,0
6,4,0.857356,0
7,4,0.961788,0
8,4,0.82544,0
9,4,0.912449,0
10,4,0.832741,0
1,5,-0.753834,0
2,5,-0.755149,0
3,5,-0.762994,0
4,5,-0.756291,0
5,5,-0.762994,0
6,5,-0.764909,0
7,5,-0.762994,0
8,5,-0.762653,0
9,5,-0.770614,0
10,5,-0.734913,0
1,6,0.51386,0
2,6,0.483383,0
3,6,0.430617,0
4,6,0.492505,0
5,6,0.568277,0
6,6,0.482483,0
7,6,0.570418,0
8,6,0.48317,0
9,6,0.517988,0
10,6,0.544609,0
1,7,0.431305,0
2,7,0.523842,0
3,7,0.517363,0
4,7,0.255434,0
5,7,0.495416,0
6,7,0.28624,0
7,7,0.419129,0
8,7,0.290368,0
9,7,0.508189,0
10,7,0.352266,0
1,8,0.701747,0
2,8,0.734909,0
3,8,0.649822,0
4,8,0.682339,0
5,8,0.71867,0
6,8,0.584723,0
7,8,0.589184,0
8,8,0.210798,0
9,8,0.101888,0
10,8,0.237834,0
1,9,-0.975882,0
2,9,-0.989854,0
3,9,-0.981723,0
4,9,-0.987016,0
5,9,-0.986431,0
6,9,-0.969059,0
7,9,-0.967321,0
8,9,-0.987981,0
9,9,-0.967757,0
10,9,-0.969274,0
1,10,-0.320133,0
2,10,-0.346087,0
3,10,-0.399168,0
4,10,-0.394047,0
5,10,-0.392802,0
6,10,-0.355364,0
7,10,-0.358529,0
8,10,-0.361346,0
9,10,-0.375068,0
10,10,-0.40677,0
1,11,-0.516078,0
2,11,-0.533458,0
3,11,-0.5169,0
4,11,-0.513646,0
5,11,-0.522467,0
6,11,-0.529098,0
7,11,-0.508097,0
8,11,-0.519834,0
9,11,-0.541062,0
10,11,-0.51938,0
1,12,-0.0449684,0
2,12,-0.0773883,0
3,12,-0.0502313,0
4,12,-0.026984,0
5,12,-0.0986238,0
6,12,-0.082425,0
7,12,-0.0577233,0
8,12,-0.0618725,0
9,12,0.00419698,0
10,12,-0.00280768,0
1,13,0.131372,0
2,13,0.239352,0
3,13,0.220333,0
4,13,0.167864,0
5,13,0.16047,0
6,13,0.233296,0
7,13,0.171007,0
8,13,0.163934,0
9,13,0.145856,0
10,13,0.220534,0
1,14,0.454346,0
2,14,0.416362,0
3,14,0.37518,0
4,14,0.432851,0
5,14,0.374819,0
6,14,0.437482,0
7,14,0.403579,0
8,14,0.456677,0
9,14,0.435812,0
10,14,0.426466,0
1,15,-0.707376,0
2,15,-0.730472,0
3,15,-0.75157,0
4,15,-0.720214,0
5,15,-0.746702,0
6,15,-0.757428,0
7,15,-0.727064,0
8,15,-0.743623,0
9,15,-0.742443,0
10,15,-0.728901,0
1,16,-0.412229,0
2,16,-0.356035,0
3,16,-0.38976,0
4,16,-0.401959,0
5,16,-0.373829,0
6,16,-0.357956,0
7,16,-0.398389,0
8,16,-0.368654,0
9,16,-0.391594,0
10,16,-0.377308,0
1,17,0.657826,0
2,17,0.672867,0
3,17,0.606083,0
4,17,0.598109,0
5,17,0.641429,0
6,17,0.645535,0
7,17,0.607317,0
8,17,0.607005,0
9,17,0.601915,0
10,17,0.673082,0
1,18,0.868773,0
2,18,0.881585,0
3,18,0.892005,0
4,18,0.82219,0
5,18,0.790217,0
6,18,0.961794,0
7,18,0.809434,0
8,18,0.909575,0
9,18,0.93602,0
10,18,0.951694,0
1,19,-0.729114,0
2,19,-0.757208,0
3,19,-0.713343,0
4,19,-0.753378,0
5,19,-0.748019,0
6,19,-0.752571,0
7,19,-0.744604,0
8,19,-0.752571,0
9,19,-0.749633,0
10,19,-0.751318,0
1,20,0.42142,0
2,20,0.467441,0
3,20,0.466952,0
4,20,0.526026,0
5,20,0.474977,0
6,20,0.476075,0
7,20,0.556457,0
8,20,0.479757,0
9,20,0.510823,0
10,20,0.507005,0
1,21,0.309026,0
2,21,0.326063,0
3,21,0.512027,0
4,21,0.426587,0
5,21,0.254838,0
6,21,0.401682,0
7,21,0.599502,0
8,21,0.616513,0
9,21,0.434337,0
10,21,0.178006,0
1,22,0.802969,0
2,22,0.834355,0
3,22,0.640169,0
4,22,0.638122,0
5,22,0.788052,0
6,22,0.73348,0
7,22,0.671742,0
8,22,0.525222,0
9,22,0.463911,0
10,22,0.833848,0
1,23,-0.973897,0
2,23,-0.98413,0
3,23,-0.981474,0
4,23,-0.953932,0
5,23,-0.992583,0
6,23,-0.987135,0
7,23,-0.98195,0
8,23,-0.995811,0
9,23,-0.976404,0
10,23,-0.995811,0
1,24,-0.418229,0
2,24,-0.336897,0
3,24,-0.36091,0
4,24,-0.374896,0
5,24,-0.357296,0
6,24,-0.413603,0
7,24,-0.386186,0
8,24,-0.374991,0
9,24,-0.392783,0
10,24,-0.324748,0
1,25,-0.507568,0
2,25,-0.553127,0
3,25,-0.558223,0
4,25,-0.518854,0
