rep,id,V,Cl
1,1,1.72177,2.01803
2,1,1.72177,2.01803
1,2,1.72177,2.01803
2,2,1.72177,2.01803
1,3,1.72177,2.01803
2,3,1.72177,2.01803
1,4,1.72177,2.01803
2,4,1.72177,2.01803
1,5,1.72177,2.01803
2,5,1.72177,2.01803
1,6,1.72177,2.01803
2,6,1.72177,2.01803
1,7,1.72177,2.01803
2,7,1.72177,2.01803
1,8,1.72177,2.01803
2,8,1.72177,2.01803
1,9,1.72177,2.01803
2,9,1.72177,2.01803
1,10,1.72177,2.01803
2,10,1.72177,2.01803
1,11,1.72177,2.01803
2,11,1.72177,2.01803
1,12,1.72177,2.01803
2,12,1.72177,2.01803
1,13,1.72177,2.01803
2,13,1.72177,2.01803
1,14,1.72177,2.01803
2,14,1.72177,2.01803
1,15,1.72177,2.01803
2,15,1.72177,2.01803
1,16,1.72177,2.01803
2,16,1.72177,2.01803
1,17,1.72177,2.01803
2,17,1.72177,2.01803
1,18,1.72177,2.01803
2,18,1.72177,2.01803
1,19,1.72177,2.01803
2,19,1.72177,2.01803
1,20,1.72177,2.01803
2,20,1.72177,2.01803
1,21,1.72177,2.01803
2,21,1.72177,2.01803
1,22,1.72177,2.01803
2,22,1.72177,2.01803
1,23,1.72177,2.01803
2,23,1.72177,2.01803
1,24,1.72177,2.01803
2,24,1.72177,2.01803
1,25,1.72177,2.01803
2,25,1.72177,2.01803
1,26,1.72177,2.01803
2,26,1.72177,2.01803
1,27,1.72177,2.01803
2,27,1.72177,2.01803
1,28,1.72177,2.01803
2,28,1.72177,2.01803
1,29,1.72177,2.01803
2,29,1.72177,2.01803
1,30,1.72177,2.01803
2,30,1.72177,2.01803
1,31,1.72177,2.01803
2,31,1.72177,2.01803
1,32,1.72177,2.01803
2,32,1.72177,2.01803
1,33,1.72177,2.01803
2,33,1.72177,2.01803
1,34,1.72177,2.01803
2,34,1.72177,2.01803
1,35,1.72177,2.01803
2,35,1.72177,2.01803
1,36,1.72177,2.01803
2,36,1.72177,2.01803
1,37,1.72177,2.01803
2,37,1.72177,2.01803
1,38,1.72177,2.01803
2,38,1.72177,2.01803
1,39,1.72177,2.01803
2,39,1.72177,2.01803
1,40,1.72177,2.01803
2,40,1.72177,2.01803
1,41,1.72177,2.01803
2,41,1.72177,2.01803
1,42,1.72177,2.01803
2,42,1.72177,2.01803
1,43,1.72177,2.01803
2,43,1.72177,2.01803
1,44,1.72177,2.01803
2,44,1.72177,2.01803
1,45,1.72177,2.01803
2,45,1.72177,2.01803
