id,importanceSampling
1,-238.927231
2,-212.616148
3,-209.837724
4,-213.149891
5,-221.997962
6,-220.919802
7,-210.863835
8,-211.576150
9,-239.735885
10,-209.164844
11,3.610174
12,-213.640034
13,-232.660460
14,-219.288472
15,-213.981869
16,-141.597706
17,-139.514374
18,-145.893994
19,-150.336959
20,-151.216520
21,-141.744217
22,-148.477698
23,-170.159876
24,-141.060944
25,62.057413
26,-143.343098
27,-164.031794
28,-148.633041
29,-144.981133
30,-142.085531
31,-98.189785
32,-103.493516
33,-113.061067
34,-111.003795
35,-101.618619
36,-104.704573
37,-129.678687
38,-99.455305
39,120.199841
40,-102.321338
41,-123.280402
42,-108.210657
43,-104.924603
44,-102.178818
45,322.733804
