rep,id,eta_V,eta_Cl
1,1,0,-0.362207
2,1,0,-0.363771
3,1,0,-0.367795
4,1,0,-0.354715
5,1,0,-0.366191
6,1,0,-0.341334
7,1,0,-0.348112
8,1,0,-0.365198
9,1,0,-0.364523
10,1,0,-0.342574
1,2,0,0.282168
2,2,0,0.297316
3,2,0,0.296142
4,2,0,0.293353
5,2,0,0.281213
6,2,0,0.285517
7,2,0,0.282233
8,2,0,0.282356
9,2,0,0.295183
10,2,0,0.294615
1,3,0,0.386734
2,3,0,0.381264
3,3,0,0.403108
4,3,0,0.391679
5,3,0,0.390718
6,3,0,0.387509
7,3,0,0.400195
8,3,0,0.408159
9,3,0,0.397302
10,3,0,0.385802
1,4,0,0.0680061
2,4,0,0.0848373
3,4,0,0.0853129
4,4,0,0.0653853
5,4,0,0.0684387
6,4,0,0.0697444
7,4,0,0.075038
8,4,0,0.0750185
9,4,0,0.0606805
10,4,0,0.0679783
1,5,0,-0.114615
2,5,0,-0.129286
3,5,0,-0.109378
4,5,0,-0.143161
5,5,0,-0.130264
6,5,0,-0.115561
7,5,0,-0.111333
8,5,0,-0.119945
9,5,0,-0.0964719
10,5,0,-0.123976
1,6,0,-0.259351
2,6,0,-0.253683
3,6,0,-0.239158
4,6,0,-0.235823
5,6,0,-0.251835
6,6,0,-0.240771
7,6,0,-0.249203
8,6,0,-0.24205
9,6,0,-0.241801
10,6,0,-0.245792
1,7,0,0.444936
2,7,0,0.457033
3,7,0,0.470372
4,7,0,0.456608
5,7,0,0.453461
6,7,0,0.462614
7,7,0,0.471557
8,7,0,0.465548
9,7,0,0.449704
10,7,0,0.457686
1,8,0,-0.352601
2,8,0,-0.347703
3,8,0,-0.345432
4,8,0,-0.36568
5,8,0,-0.362879
6,8,0,-0.352576
7,8,0,-0.363591
8,8,0,-0.362702
9,8,0,-0.35962
10,8,0,-0.390893
1,9,0,-0.238301
2,9,0,-0.251383
3,9,0,-0.265654
4,9,0,-0.254317
5,9,0,-0.258513
6,9,0,-0.278717
7,9,0,-0.25062
8,9,0,-0.249137
9,9,0,-0.259698
10,9,0,-0.243045
1,10,0,0.343227
2,10,0,0.34678
3,10,0,0.365214
4,10,0,0.326357
5,10,0,0.342188
6,10,0,0.333785
7,10,0,0.358004
8,10,0,0.326124
9,10,0,0.352925
10,10,0,0.330355
1,11,0,-0.638143
2,11,0,-0.650421
3,11,0,-0.690764
4,11,0,-0.645907
5,11,0,-0.687246
6,11,0,-0.649609
7,11,0,-0.676975
8,11,0,-0.650958
9,11,0,-0.696223
10,11,0,-0.632311
1,12,0,0.239488
2,12,0,0.247823
3,12,0,0.247389
4,12,0,0.247115
5,12,0,0.249787
6,12,0,0.257524
7,12,0,0.245103
8,12,0,0.243953
9,12,0,0.25873
10,12,0,0.240454
1,13,0,-0.406048
2,13,0,-0.40128
3,13,0,-0.400974
4,13,0,-0.408716
5,13,0,-0.40519
6,13,0,-0.388376
7,13,0,-0.420321
8,13,0,-0.396142
9,13,0,-0.424809
10,13,0,-0.377745
1,14,0,0.118113
2,14,0,0.134583
