id,importanceSampling
1,-312.671144
2,-585.783467
3,-464.487466
4,-449.313970
5,-382.817548
6,-326.029348
7,-519.415268
8,-283.485666
9,-350.217180
10,-434.498111
11,-220.616424
12,-560.260363
13,-298.569449
14,-510.389905
15,-613.449622
16,-513.597953
17,-649.311596
18,-384.307537
19,-305.864177
20,-257.030166
21,-687.641124
22,-224.921701
23,-279.942278
24,-636.700788
25,-153.010729
26,-486.253576
27,-227.156554
28,-434.982287
29,-549.962768
30,-282.128627
31,-600.457220
32,-342.482480
33,-271.770491
34,-216.416711
35,-634.784720
36,-179.947102
37,-239.237784
38,-580.046949
39,-109.242492
40,-451.122789
41,-189.255056
42,-389.970266
43,-511.150020
44,-244.847250
45,-97.378894
