rep,id,V,Cl
1,1,1.10414,1.39179
2,1,1.07182,1.39179
3,1,1.08164,1.39179
4,1,1.06375,1.39179
5,1,1.07404,1.39179
6,1,1.0727,1.39179
7,1,1.07363,1.39179
8,1,1.08951,1.39179
9,1,1.07055,1.39179
10,1,1.09635,1.39179
1,2,0.511882,1.39179
2,2,0.509858,1.39179
3,2,0.511882,1.39179
4,2,0.516004,1.39179
5,2,0.505439,1.39179
6,2,0.510323,1.39179
7,2,0.505121,1.39179
8,2,0.508701,1.39179
9,2,0.505712,1.39179
10,2,0.516344,1.39179
1,3,0.466163,1.39179
2,3,0.468443,1.39179
3,3,0.468852,1.39179
4,3,0.476949,1.39179
5,3,0.472086,1.39179
6,3,0.470145,1.39179
7,3,0.47348,1.39179
8,3,0.471473,1.39179
9,3,0.467931,1.39179
10,3,0.465776,1.39179
1,4,0.64716,1.39179
2,4,0.636004,1.39179
3,4,0.640513,1.39179
4,4,0.63588,1.39179
5,4,0.64204,1.39179
6,4,0.640992,1.39179
7,4,0.642938,1.39179
8,4,0.649343,1.39179
9,4,0.638415,1.39179
10,4,0.648812,1.39179
1,5,0.802648,1.39179
2,5,0.794117,1.39179
3,5,0.79766,1.39179
4,5,0.786279,1.39179
5,5,0.786883,1.39179
6,5,0.775863,1.39179
7,5,0.781219,1.39179
8,5,0.791144,1.39179
9,5,0.78839,1.39179
10,5,0.793321,1.39179
1,6,0.919395,1.39179
2,6,0.91978,1.39179
3,6,0.899609,1.39179
4,6,0.925992,1.39179
5,6,0.905455,1.39179
6,6,0.911181,1.39179
7,6,0.930043,1.39179
8,6,0.927606,1.39179
9,6,0.916702,1.39179
10,6,0.931792,1.39179
1,7,0.439282,1.39179
2,7,0.438353,1.39179
3,7,0.442307,1.39179
4,7,0.437738,1.39179
5,7,0.448967,1.39179
6,7,0.432487,1.39179
7,7,0.441401,1.39179
8,7,0.43747,1.39179
9,7,0.436303,1.39179
10,7,0.442996,1.39179
1,8,1.07291,1.39179
2,8,1.06246,1.39179
3,8,1.02253,1.39179
4,8,1.06211,1.39179
5,8,1.04838,1.39179
6,8,1.05081,1.39179
7,8,1.058,1.39179
8,8,1.03397,1.39179
9,8,1.04303,1.39179
10,8,1.05052,1.39179
1,9,0.91689,1.39179
2,9,0.933973,1.39179
3,9,0.953477,1.39179
4,9,0.958765,1.39179
5,9,0.927278,1.39179
6,9,0.927939,1.39179
7,9,0.942203,1.39179
8,9,0.941242,1.39179
9,9,0.939438,1.39179
10,9,0.937362,1.39179
1,10,0.509348,1.39179
2,10,0.500873,1.39179
3,10,0.49879,1.39179
4,10,0.493718,1.39179
5,10,0.505458,1.39179
6,10,0.493802,1.39179
7,10,0.508289,1.39179
8,10,0.489399,1.39179
9,10,0.496333,1.39179
10,10,0.505759,1.39179
1,11,1.57789,1.39179
2,11,1.61749,1.39179
3,11,1.61943,1.39179
4,11,1.66495,1.39179
5,11,1.61791,1.39179
6,11,1.70547,1.39179
7,11,1.5464,1.39179
8,11,1.6006,1.39179
9,11,1.60303,1.39179
10,11,1.64074,1.39179
1,12,0.539487,1.39179
2,12,0.543302,1.39179
3,12,0.539835,1.39179
4,12,0.543263,1.39179
5,12,0.535731,1.39179
6,12,0.540568,1.39179
7,12,0.540565,1.39179
8,12,0.535931,1.39179
9,12,0.537676,1.39179
10,12,0.547146,1.39179
1,13,1.13964,1.39179
2,13,1.1366,1.39179
3,13,1.13369,1.39179
4,13,1.14235,1.39179
5,13,1.13267,1.39179
6,13,1.14483,1.39179
7,13,1.15728,1.39179
8,13,1.12787,1.39179
9,13,1.13541,1.39179
10,13,1.12291,1.39179
1,14,0.60412,1.39179
2,14,0.611254,1.39179
3,14,0.607802,1.39179
4,14,0.607829,1.39179
5,14,0.603424,1.39179
6,14,0.610164,1.39179
7,14,0.609787,1.39179
8,14,0.605575,1.39179
9,14,0.614812,1.39179
10,14,0.611716,1.39179
1,15,0.502358,1.39179
2,15,0.501068,1.39179
3,15,0.499423,1.39179
4,15,0.502681,1.39179
5,15,0.498483,1.39179
6,15,0.508552,1.39179
7,15,0.503864,1.39179
8,15,0.50425,1.39179
9,15,0.496412,1.39179
10,15,0.501579,1.39179
1,16,0.496954,1.39179
2,16,0.499871,1.39179
3,16,0.503616,1.39179
4,16,0.498797,1.39179
5,16,0.502881,1.39179
6,16,0.504635,1.39179
7,16,0.498439,1.39179
8,16,0.502062,1.39179
9,16,0.499332,1.39179
10,16,0.500892,1.39179
1,17,0.401844,1.39179
2,17,0.40317,1.39179
3,17,0.408718,1.39179
4,17,0.403044,1.39179
5,17,0.405286,1.39179
6,17,0.407,1.39179
7,17,0.401314,1.39179
8,17,0.402402,1.39179
9,17,0.403414,1.39179
10,17,0.406657,1.39179
1,18,0.644222,1.39179
2,18,0.640559,1.39179
3,18,0.650773,1.39179
4,18,0.631218,1.39179
5,18,0.64146,1.39179
6,18,0.634422,1.39179
7,18,0.641088,1.39179
8,18,0.643357,1.39179
9,18,0.641012,1.39179
10,18,0.647173,1.39179
1,19,0.781789,1.39179
2,19,0.790701,1.39179
3,19,0.806982,1.39179
4,19,0.804228,1.39179
5,19,0.791554,1.39179
6,19,0.794579,1.39179
7,19,0.781485,1.39179
8,19,0.791449,1.39179
9,19,0.800172,1.39179
10,19,0.792811,1.39179
1,20,0.901344,1.39179
2,20,0.907531,1.39179
3,20,0.902594,1.39179
4,20,0.905664,1.39179
5,20,0.905967,1.39179
6,20,0.936491,1.39179
7,20,0.928687,1.39179
8,20,0.91383,1.39179
9,20,0.905856,1.39179
10,20,0.920645,1.39179
1,21,0.375481,1.39179
2,21,0.37631,1.39179
3,21,0.378344,1.39179
4,21,0.375041,1.39179
5,21,0.376668,1.39179
6,21,0.37743,1.39179
7,21,0.379574,1.39179
8,21,0.380982,1.39179
9,21,0.372089,1.39179
10,21,0.381549,1.39179
1,22,1.08113,1.39179
2,22,1.06299,1.39179
3,22,1.07625,1.39179
4,22,1.02396,1.39179
5,22,1.06449,1.39179
6,22,1.06627,1.39179
7,22,1.04709,1.39179
8,22,1.05541,1.39179
9,22,1.04432,1.39179
10,22,1.07858,1.39179
1,23,0.947415,1.39179
2,23,0.96057,1.39179
3,23,0.931293,1.39179
4,23,0.930826,1.39179
5,23,0.930289,1.39179
6,23,0.945582,1.39179
7,23,0.939725,1.39179
8,23,0.932518,1.39179
9,23,0.937463,1.39179
10,23,0.944809,1.39179
1,24,0.42366,1.39179
2,24,0.421548,1.39179
3,24,0.425253,1.39179
4,24,0.429181,1.39179
5,24,0.426157,1.39179
6,24,0.421992,1.39179
7,24,0.426329,1.39179
8,24,0.426437,1.39179
9,24,0.423303,1.39179
10,24,0.428966,1.39179
1,25,1.60206,1.39179
2,25,1.56211,1.39179
3,25,1.55963,1.39179
4,25,1.4883,1.39179
5,25,1.54743,1.39179
6,25,1.54701,1.39179
7,25,1.62271,1.39179
8,25,1.62792,1.39179
9,25,1.54801,1.39179
10,25,1.54973,1.39179
1,26,0.52999,1.39179
2,26,0.529806,1.39179
3,26,0.53438,1.39179
4,26,0.533153,1.39179
5,26,0.529316,1.39179
6,26,0.539906,1.39179
7,26,0.531016,1.39179
8,26,0.528965,1.39179
9,26,0.532765,1.39179
10,26,0.535596,1.39179
1,27,1.14908,1.39179
2,27,1.13287,1.39179
3,27,1.1575,1.39179
4,27,1.14084,1.39179
5,27,1.12775,1.39179
6,27,1.11722,1.39179
7,27,1.12684,1.39179
8,27,1.13787,1.39179
9,27,1.1557,1.39179
10,27,1.1772,1.39179
1,28,0.598752,1.39179
2,28,0.609912,1.39179
3,28,0.60106,1.39179
4,28,0.607394,1.39179
5,28,0.605907,1.39179
6,28,0.617751,1.39179
7,28,0.605686,1.39179
8,28,0.604893,1.39179
9,28,0.59969,1.39179
10,28,0.599951,1.39179
1,29,0.490597,1.39179
2,29,0.498179,1.39179
3,29,0.499454,1.39179
4,29,0.495076,1.39179
5,29,0.49179,1.39179
6,29,0.500752,1.39179
7,29,0.498623,1.39179
8,29,0.495833,1.39179
9,29,0.491453,1.39179
10,29,0.495976,1.39179
1,30,0.787853,1.39179
2,30,0.798418,1.39179
3,30,0.787173,1.39179
4,30,0.795728,1.39179
5,30,0.792432,1.39179
6,30,0.788519,1.39179
7,30,0.791759,1.39179
8,30,0.799446,1.39179
9,30,0.798256,1.39179
10,30,0.783574,1.39179
1,31,0.407533,1.39179
2,31,0.411763,1.39179
3,31,0.412398,1.39179
4,31,0.412725,1.39179
5,31,0.411007,1.39179
6,31,0.410004,1.39179
7,31,0.407419,1.39179
8,31,0.413236,1.39179
9,31,0.409662,1.39179
10,31,0.40885,1.39179
1,32,0.642202,1.39179
2,32,0.630976,1.39179
3,32,0.651034,1.39179
4,32,0.64314,1.39179
5,32,0.63381,1.39179
6,32,0.637072,1.39179
7,32,0.63402,1.39179
8,32,0.632586,1.39179
9,32,0.629652,1.39179
10,32,0.634149,1.39179
1,33,0.799742,1.39179
2,33,0.794352,1.39179
3,33,0.796261,1.39179
4,33,0.792816,1.39179
5,33,0.80173,1.39179
6,33,0.796837,1.39179
7,33,0.786075,1.39179
8,33,0.793376,1.39179
9,33,0.794051,1.39179
10,33,0.813214,1.39179
1,34,0.939476,1.39179
2,34,0.902573,1.39179
3,34,0.909387,1.39179
4,34,0.928016,1.39179
5,34,0.931158,1.39179
6,34,0.907281,1.39179
7,34,0.912798,1.39179
8,34,0.928855,1.39179
9,34,0.91128,1.39179
10,34,0.930416,1.39179
1,35,0.383961,1.39179
2,35,0.38181,1.39179
3,35,0.380481,1.39179
4,35,0.38181,1.39179
5,35,0.380679,1.39179
6,35,0.383464,1.39179
7,35,0.38304,1.39179
8,35,0.379937,1.39179
9,35,0.381708,1.39179
10,35,0.383543,1.39179
1,36,1.02764,1.39179
2,36,1.0153,1.39179
3,36,1.05009,1.39179
4,36,1.05213,1.39179
5,36,1.03878,1.39179
6,36,1.05892,1.39179
7,36,1.03731,1.39179
8,36,1.04682,1.39179
9,36,1.02682,1.39179
10,36,1.04912,1.39179
1,37,0.972363,1.39179
2,37,0.955738,1.39179
3,37,0.960541,1.39179
4,37,0.96425,1.39179
5,37,0.941094,1.39179
6,37,0.94383,1.39179
7,37,0.951325,1.39179
8,37,0.957739,1.39179
9,37,0.941582,1.39179
10,37,0.950991,1.39179
1,38,0.429678,1.39179
2,38,0.431015,1.39179
3,38,0.431804,1.39179
4,38,0.427417,1.39179
5,38,0.433764,1.39179
6,38,0.43026,1.39179
7,38,0.427267,1.39179
8,38,0.431523,1.39179
9,38,0.428353,1.39179
10,38,0.428361,1.39179
1,39,1.6241,1.39179
2,39,1.56643,1.39179
3,39,1.53406,1.39179
4,39,1.56573,1.39179
5,39,1.59406,1.39179
6,39,1.55919,1.39179
7,39,1.6094,1.39179
8,39,1.59075,1.39179
9,39,1.59422,1.39179
10,39,1.62555,1.39179
1,40,0.528774,1.39179
2,40,0.533666,1.39179
3,40,0.534605,1.39179
4,40,0.529475,1.39179
5,40,0.533012,1.39179
6,40,0.525534,1.39179
7,40,0.535307,1.39179
8,40,0.529848,1.39179
9,40,0.53324,1.39179
10,40,0.538225,1.39179
1,41,1.17188,1.39179
2,41,1.13028,1.39179
3,41,1.12235,1.39179
4,41,1.10634,1.39179
5,41,1.13962,1.39179
6,41,1.14276,1.39179
7,41,1.16018,1.39179
8,41,1.18666,1.39179
9,41,1.16751,1.39179
10,41,1.12593,1.39179
1,42,0.606319,1.39179
2,42,0.615623,1.39179
3,42,0.605249,1.39179
4,42,0.612878,1.39179
5,42,0.607897,1.39179
6,42,0.612211,1.39179
7,42,0.603075,1.39179
8,42,0.601944,1.39179
9,42,0.604696,1.39179
10,42,0.613046,1.39179
1,43,0.491381,1.39179
2,43,0.495759,1.39179
3,43,0.486292,1.39179
4,43,0.488373,1.39179
5,43,0.488778,1.39179
6,43,0.488147,1.39179
7,43,0.49668,1.39179
8,43,0.494371,1.39179
9,43,0.491722,1.39179
10,43,0.490971,1.39179
1,44,0.773929,1.39179
2,44,0.797682,1.39179
3,44,0.787491,1.39179
4,44,0.776892,1.39179
5,44,0.778873,1.39179
6,44,0.776105,1.39179
7,44,0.786995,1.39179
8,44,0.79783,1.39179
9,44,0.797774,1.39179
10,44,0.783005,1.39179
1,45,1.7145,1.39179
2,45,1.78193,1.39179
3,45,1.79426,1.39179
4,45,1.75219,1.39179
5,45,1.70726,1.39179
6,45,1.74511,1.39179
7,45,1.7791,1.39179
8,45,1.74197,1.39179
9,45,1.73963,1.39179
