rep,id,V,Cl
1,1,1.08229,1.37645
2,1,1.24953,1.57591
3,1,1.13461,1.41765
4,1,1.34599,1.63091
5,1,1.24032,1.50718
6,1,1.29677,1.61022
7,1,1.13942,1.43366
8,1,1.14889,1.44287
9,1,1.13729,1.4367
10,1,1.14113,1.45436
1,2,0.67881,1.79527
2,2,0.645013,1.72005
3,2,0.683131,1.8003
4,2,0.646727,1.68639
5,2,0.684792,1.80599
6,2,0.629748,1.67567
7,2,0.689688,1.80485
8,2,0.635244,1.69115
9,2,0.671382,1.76806
10,2,0.618724,1.65349
1,3,1.00729,2.74168
2,3,0.952879,2.59387
3,3,0.960642,2.64736
4,3,0.948259,2.59956
5,3,0.965055,2.65134
6,3,1.02767,2.82742
7,3,1.01541,2.7562
8,3,0.920753,2.57713
9,3,0.988087,2.75029
10,3,1.01608,2.80514
1,4,0.555869,1.2179
2,4,0.562161,1.22815
3,4,0.57897,1.25931
4,4,0.573784,1.2669
5,4,0.5577,1.22523
6,4,0.576975,1.24952
7,4,0.564472,1.23728
8,4,0.572616,1.25061
9,4,0.557333,1.22998
10,4,0.542122,1.19531
1,5,0.627175,1.12212
2,5,0.631627,1.13693
3,5,0.656401,1.18508
4,5,0.641969,1.15357
5,5,0.672025,1.21059
6,5,0.639392,1.1505
7,5,0.647942,1.15898
8,5,0.638177,1.15628
9,5,0.645494,1.15672
10,5,0.654673,1.17993
1,6,0.693685,1.07401
2,6,0.652521,1.05742
3,6,0.683134,1.08374
4,6,0.67386,1.06699
5,6,0.657017,1.0589
6,6,0.713943,1.1165
7,6,0.680813,1.06195
8,6,0.744788,1.15807
9,6,0.661176,1.03615
10,6,0.674005,1.0497
1,7,1.24432,3.64766
2,7,1.35151,3.91948
3,7,1.15623,3.41261
4,7,1.3185,3.85626
5,7,1.1633,3.34872
6,7,1.37134,3.9188
7,7,1.19476,3.48364
8,7,1.31589,3.83205
9,7,1.25479,3.63731
10,7,1.32386,3.83858
1,8,0.588917,0.858217
2,8,0.648092,0.942803
3,8,0.604076,0.882355
