rep,id,eta_V,eta_Cl
1,1,0.335987,-0.0883879
2,1,0.479679,0.0469382
3,1,0.3832,-0.0588959
4,1,0.55404,0.0812409
5,1,0.472274,0.00234148
6,1,0.516783,0.0684759
7,1,0.387429,-0.0476651
8,1,0.395701,-0.0412613
9,1,0.385552,-0.0455482
10,1,0.388924,-0.0333306
1,2,-0.130507,0.177262
2,2,-0.181577,0.134457
3,2,-0.124161,0.180058
4,2,-0.178923,0.114691
5,2,-0.121732,0.183215
6,2,-0.205527,0.108316
7,2,-0.114609,0.18258
8,2,-0.196838,0.117515
9,2,-0.141508,0.161985
10,2,-0.223189,0.0949922
1,3,0.264168,0.600676
2,3,0.208641,0.545254
3,3,0.216754,0.565665
4,3,0.203781,0.547446
5,3,0.221338,0.56717
6,3,0.284204,0.631468
7,3,0.272204,0.605956
8,3,0.174345,0.538778
9,3,0.244923,0.603809
10,3,0.272857,0.623557
1,4,-0.330314,-0.210766
2,4,-0.31906,-0.20239
3,4,-0.289597,-0.177335
4,4,-0.298595,-0.171324
5,4,-0.327026,-0.204772
6,4,-0.293048,-0.185133
7,4,-0.314956,-0.194983
8,4,-0.300631,-0.184264
9,4,-0.327685,-0.200899
10,4,-0.355356,-0.229488
1,5,-0.209621,-0.292675
2,5,-0.202549,-0.279561
3,5,-0.164075,-0.238088
4,5,-0.186307,-0.265034
5,5,-0.140551,-0.216791
6,5,-0.190329,-0.267699
7,5,-0.177045,-0.260353
8,5,-0.192231,-0.262691
9,5,-0.180832,-0.262306
10,5,-0.166711,-0.242444
1,6,-0.10883,-0.336501
2,6,-0.170005,-0.352062
3,6,-0.124156,-0.327475
4,6,-0.137825,-0.343059
5,6,-0.163138,-0.350664
6,6,-0.0800438,-0.297697
7,6,-0.12756,-0.347794
8,6,-0.0377483,-0.261139
9,6,-0.156827,-0.372381
10,6,-0.13761,-0.359395
1,7,0.4755,0.886188
2,7,0.558128,0.958062
3,7,0.402076,0.819582
4,7,0.533401,0.941802
5,7,0.408169,0.800683
6,7,0.572698,0.95789
7,7,0.434856,0.84018
8,7,0.531418,0.935502
9,7,0.483873,0.883349
10,7,0.537459,0.937205
1,8,-0.272561,-0.560795
2,8,-0.176814,-0.466795
3,8,-0.247148,-0.533057
4,8,-0.220701,-0.515425
5,8,-0.228879,-0.514757
6,8,-0.245056,-0.544746
7,8,-0.186306,-0.477322
8,8,-0.28434,-0.560898
9,8,-0.129199,-0.422625
10,8,-0.205987,-0.495497
1,9,0.386877,0.0645274
2,9,0.366364,0.0429192
3,9,0.366933,0.0491339
4,9,0.523016,0.184114
5,9,0.384326,0.0467127
6,9,0.499843,0.17044
7,9,0.3843,0.0529421
8,9,0.497605,0.130775
9,9,0.360247,0.0320228
10,9,0.543393,0.156842
1,10,0.20881,0.503619
2,10,0.205411,0.508973
