id,importanceSampling
1,-337.895790
2,-624.485840
3,-327.409990
4,-497.743995
5,-415.897849
6,-363.158198
7,-400.081189
8,-325.010016
9,-374.951810
10,-299.584203
11,-241.892390
12,-593.690547
13,-322.073568
14,-535.839504
15,-640.801434
16,-563.192805
17,-631.697470
18,-431.029063
19,-343.592515
20,-295.129858
21,-643.670733
22,-257.949365
23,-303.381006
24,-625.475750
25,-173.759076
26,-531.951652
27,-252.295422
28,-463.824663
29,-581.677679
30,-340.154679
31,-577.879761
32,-394.245063
33,-304.998972
34,-253.715069
35,-593.583389
36,-217.155024
37,-263.522336
38,-560.190041
39,-131.895122
40,-491.627939
41,-212.831211
42,-419.789971
43,-541.975191
44,-300.803812
45,-118.820267
