id,importanceSampling
1,-396.997748
2,-386.438177
3,-375.144770
4,-438.442607
5,-385.135318
6,-387.363970
7,-384.693029
8,-377.851039
9,-392.432021
10,-384.266201
11,-396.265945
12,-402.264635
13,-387.609282
14,-422.715110
15,-389.162247
16,-319.414986
17,-316.021640
18,-349.720837
19,-334.583188
20,-313.444023
21,-320.878902
22,-315.897334
23,-328.803295
24,-322.432577
25,-330.291842
26,-340.946755
27,-319.282649
28,-334.411390
29,-335.713207
30,-312.172822
31,-290.188356
32,-301.642023
33,-278.527571
34,-282.273162
35,-294.368185
36,-271.149371
37,-279.992503
38,-277.695199
39,-275.186770
40,-306.430388
41,-285.240424
42,-280.824396
43,-268.642524
44,-278.698799
45,-280.749154
