rep,id,eta_V,eta_Cl
1,1,0,-0.513658
2,1,0,-0.504999
3,1,0,-0.510247
4,1,0,-0.487604
5,1,0,-0.505224
6,1,0,-0.468666
7,1,0,-0.47926
8,1,0,-0.516827
9,1,0,-0.483477
10,1,0,-0.468798
1,2,0,-0.220085
2,2,0,-0.217494
3,2,0,-0.240916
4,2,0,-0.242319
5,2,0,-0.257911
6,2,0,-0.245635
7,2,0,-0.252148
8,2,0,-0.259827
9,2,0,-0.224356
10,2,0,-0.245367
1,3,0,0.262274
2,3,0,0.259864
3,3,0,0.270908
4,3,0,0.262886
5,3,0,0.273503
6,3,0,0.263997
7,3,0,0.273489
8,3,0,0.273986
9,3,0,0.282953
10,3,0,0.253388
1,4,0,0.0142453
2,4,0,0.0482741
3,4,0,0.0359259
4,4,0,0.0418011
5,4,0,0.0283946
6,4,0,0.0290385
7,4,0,0.0381636
8,4,0,0.0248498
9,4,0,0.0278043
10,4,0,0.0225171
1,5,0,-0.575839
2,5,0,-0.575866
3,5,0,-0.585915
4,5,0,-0.585163
5,5,0,-0.570217
6,5,0,-0.628232
7,5,0,-0.607696
8,5,0,-0.58743
9,5,0,-0.541213
10,5,0,-0.593389
1,6,0,0.355908
2,6,0,0.368656
3,6,0,0.375452
4,6,0,0.390139
5,6,0,0.377249
6,6,0,0.381652
7,6,0,0.383538
8,6,0,0.381803
9,6,0,0.37748
10,6,0,0.375107
1,7,0,0.682897
2,7,0,0.676673
3,7,0,0.68267
4,7,0,0.669402
5,7,0,0.671682
6,7,0,0.686345
7,7,0,0.670037
8,7,0,0.679658
9,7,0,0.670037
10,7,0,0.667208
1,8,0,0.355418
2,8,0,0.389757
3,8,0,0.39209
4,8,0,0.369711
5,8,0,0.361192
6,8,0,0.372901
7,8,0,0.375554
8,8,0,0.374662
9,8,0,0.382387
10,8,0,0.368581
1,9,0,-0.094233
2,9,0,-0.0990697
3,9,0,-0.11174
4,9,0,-0.116097
5,9,0,-0.111666
6,9,0,-0.13802
7,9,0,-0.101049
8,9,0,-0.0905457
9,9,0,-0.0933691
10,9,0,-0.0809351
1,10,0,-0.237417
2,10,0,-0.194714
3,10,0,-0.205394
4,10,0,-0.25301
5,10,0,-0.227109
6,10,0,-0.248076
7,10,0,-0.225706
8,10,0,-0.244491
9,10,0,-0.210052
10,10,0,-0.247025
1,11,0,-0.371712
2,11,0,-0.398449
3,11,0,-0.419749
4,11,0,-0.380081
5,11,0,-0.385846
6,11,0,-0.396058
7,11,0,-0.429408
8,11,0,-0.40577
9,11,0,-0.428498
10,11,0,-0.399887
1,12,0,0.426468
2,12,0,0.439172
3,12,0,0.438373
4,12,0,0.444535
5,12,0,0.438889
6,12,0,0.436335
7,12,0,0.453224
8,12,0,0.436469
9,12,0,0.43547
10,12,0,0.439314
1,13,0,-0.530301
2,13,0,-0.526103
3,13,0,-0.488264
4,13,0,-0.543455
5,13,0,-0.525376
6,13,0,-0.544864
7,13,0,-0.556272
8,13,0,-0.542902
9,13,0,-0.538515
10,13,0,-0.479711
1,14,0,-0.377252
2,14,0,-0.354388
3,14,0,-0.341768
4,14,0,-0.368592
5,14,0,-0.365128
6,14,0,-0.36063
7,14,0,-0.352592
8,14,0,-0.382044
9,14,0,-0.361049
10,14,0,-0.370097
1,15,0,0.0343259
2,15,0,0.0528475
3,15,0,0.0326913
4,15,0,0.0303025
5,15,0,0.0205299
6,15,0,0.0518682
7,15,0,0.0214381
8,15,0,0.00288582
9,15,0,0.0329728
10,15,0,0.0412607
1,16,0,-0.224601
2,16,0,-0.248714
3,16,0,-0.246396
4,16,0,-0.255776
5,16,0,-0.249636
6,16,0,-0.258028
7,16,0,-0.216374
8,16,0,-0.264815
9,16,0,-0.224404
10,16,0,-0.232117
1,17,0,0.257295
2,17,0,0.260002
3,17,0,0.256787
4,17,0,0.250552
5,17,0,0.260298
6,17,0,0.273127
7,17,0,0.266292
8,17,0,0.259841
9,17,0,0.256867
10,17,0,0.261212
1,18,0,0.0315505
2,18,0,0.0520996
3,18,0,0.0380444
4,18,0,0.0226827
5,18,0,0.0362962
6,18,0,0.0457827
7,18,0,0.0386737
8,18,0,0.0388645
9,18,0,0.0452829
10,18,0,0.0579418
1,19,0,-0.608274
2,19,0,-0.575127
3,19,0,-0.604049
4,19,0,-0.587273
5,19,0,-0.580455
6,19,0,-0.57855
7,19,0,-0.575521
8,19,0,-0.559165
9,19,0,-0.551876
10,19,0,-0.566345
1,20,0,0.344282
2,20,0,0.370786
3,20,0,0.380123
4,20,0,0.362501
5,20,0,0.378675
6,20,0,0.366252
7,20,0,0.367643
8,20,0,0.38254
9,20,0,0.377932
10,20,0,0.376145
1,21,0,0.680369
2,21,0,0.678463
3,21,0,0.686179
4,21,0,0.689483
5,21,0,0.677475
6,21,0,0.660217
7,21,0,0.686461
8,21,0,0.67508
9,21,0,0.682558
10,21,0,0.68698
1,22,0,0.381962
2,22,0,0.36767
3,22,0,0.381823
4,22,0,0.379948
5,22,0,0.361947
6,22,0,0.382339
7,22,0,0.375305
8,22,0,0.379182
9,22,0,0.386094
10,22,0,0.357374
1,23,0,-0.108264
2,23,0,-0.120856
3,23,0,-0.119373
4,23,0,-0.134841
5,23,0,-0.113431
6,23,0,-0.114585
7,23,0,-0.132206
8,23,0,-0.140048
9,23,0,-0.120567
10,23,0,-0.113252
1,24,0,-0.220409
2,24,0,-0.25149
3,24,0,-0.19779
4,24,0,-0.195457
5,24,0,-0.199158
6,24,0,-0.198634
7,24,0,-0.230475
8,24,0,-0.232008
9,24,0,-0.213624
10,24,0,-0.229001
1,25,0,-0.380445
2,25,0,-0.385131
3,25,0,-0.328737
4,25,0,-0.361241
5,25,0,-0.374055
6,25,0,-0.38995
7,25,0,-0.388333
8,25,0,-0.376152
9,25,0,-0.361966
10,25,0,-0.395314
1,26,0,0.428942
2,26,0,0.451146
3,26,0,0.441334
4,26,0,0.443982
5,26,0,0.445376
6,26,0,0.440369
7,26,0,0.442946
8,26,0,0.444828
9,26,0,0.454296
10,26,0,0.432106
1,27,0,-0.542131
2,27,0,-0.533505
3,27,0,-0.561914
4,27,0,-0.546817
5,27,0,-0.481819
6,27,0,-0.499776
7,27,0,-0.534188
8,27,0,-0.501767
9,27,0,-0.535141
10,27,0,-0.507472
1,28,0,-0.347731
2,28,0,-0.34712
3,28,0,-0.378984
4,28,0,-0.369401
5,28,0,-0.376619
6,28,0,-0.335159
7,28,0,-0.356566
8,28,0,-0.39244
9,28,0,-0.372639
10,28,0,-0.387506
1,29,0,0.0669772
2,29,0,0.0728768
3,29,0,0.0751413
4,29,0,0.0486917
5,29,0,0.062903
6,29,0,0.0493281
