rep,id,V,Cl
1,1,5.03668,1.74413
2,1,5.03668,1.78953
3,1,5.03668,1.75342
4,1,5.03668,1.82021
5,1,5.03668,1.8008
6,1,5.03668,1.73254
7,1,5.03668,1.79289
8,1,5.03668,1.82046
9,1,5.03668,1.8053
10,1,5.03668,1.74129
1,2,5.03668,2.2841
2,2,5.03668,2.28053
3,2,5.03668,2.24445
4,2,5.03668,2.2725
5,2,5.03668,2.25939
6,2,5.03668,2.23997
7,2,5.03668,2.32415
8,2,5.03668,2.27736
9,2,5.03668,2.32672
10,2,5.03668,2.29659
1,3,5.03668,3.80852
2,3,5.03668,3.7783
3,3,5.03668,3.81992
4,3,5.03668,3.78241
5,3,5.03668,3.82083
6,3,5.03668,3.82126
7,3,5.03668,3.8588
8,3,5.03668,3.74139
9,3,5.03668,3.8841
10,3,5.03668,3.79192
1,4,5.03668,3.01327
2,4,5.03668,3.03088
3,4,5.03668,2.98928
4,4,5.03668,2.99082
5,4,5.03668,3.01938
6,4,5.03668,2.97807
7,4,5.03668,2.98654
8,4,5.03668,2.97154
9,4,5.03668,2.96755
10,4,5.03668,3.01848
1,5,5.03668,1.61848
2,5,5.03668,1.61835
3,5,5.03668,1.64362
4,5,5.03668,1.54877
5,5,5.03668,1.58258
6,5,5.03668,1.61519
7,5,5.03668,1.69342
8,5,5.03668,1.60444
9,5,5.03668,1.68492
10,5,5.03668,1.64805
1,6,5.03668,4.22799
2,6,5.03668,4.29096
3,6,5.03668,4.23581
4,6,5.03668,4.25427
5,6,5.03668,4.26372
6,6,5.03668,4.25533
7,6,5.03668,4.23584
8,6,5.03668,4.22592
9,6,5.03668,4.28269
10,6,5.03668,4.25342
1,7,5.03668,5.74918
2,7,5.03668,5.66857
3,7,5.03668,5.68276
4,7,5.03668,5.76677
5,7,5.03668,5.67322
6,7,5.03668,5.72821
7,7,5.03668,5.67322
8,7,5.03668,5.65727
9,7,5.03668,5.68574
10,7,5.03668,5.71628
1,8,5.03668,4.29826
2,8,5.03668,4.20321
3,8,5.03668,4.16575
4,8,5.03668,4.2172
5,8,5.03668,4.22747
6,8,5.03668,4.22487
7,8,5.03668,4.25687
8,8,5.03668,4.19889
9,8,5.03668,4.29448
10,8,5.03668,4.24747
1,9,5.03668,2.59897
2,9,5.03668,2.58643
3,9,5.03668,2.59937
4,9,5.03668,2.52905
5,9,5.03668,2.62821
6,9,5.03668,2.65544
7,9,5.03668,2.64725
8,9,5.03668,2.67997
9,9,5.03668,2.5806
10,9,5.03668,2.64485
1,10,5.03668,2.36749
2,10,5.03668,2.25694
3,10,5.03668,2.31629
4,10,5.03668,2.26884
5,10,5.03668,2.32049
6,10,5.03668,2.27707
7,10,5.03668,2.35739
8,10,5.03668,2.24985
9,10,5.03668,2.28784
10,10,5.03668,2.32307
1,11,5.03668,1.91063
2,11,5.03668,1.98833
3,11,5.03668,1.97602
4,11,5.03668,1.95683
5,11,5.03668,1.89038
6,11,5.03668,1.93825
7,11,5.03668,1.89302
8,11,5.03668,1.94971
9,11,5.03668,1.89182
10,11,5.03668,1.99045
1,12,5.03668,4.52215
2,12,5.03668,4.48011
3,12,5.03668,4.50336
4,12,5.03668,4.46839
5,12,5.03668,4.48628
6,12,5.03668,4.46925
7,12,5.03668,4.58307
8,12,5.03668,4.49996
9,12,5.03668,4.47992
10,12,5.03668,4.56085
1,13,5.03668,1.79384
2,13,5.03668,1.68684
3,13,5.03668,1.71862
4,13,5.03668,1.68616
5,13,5.03668,1.66486
6,13,5.03668,1.68943
7,13,5.03668,1.69605
8,13,5.03668,1.80191
9,13,5.03668,1.63721
10,13,5.03668,1.70591
1,14,5.03668,2.06768
2,14,5.03668,2.01117
3,14,5.03668,2.01833
4,14,5.03668,2.0275
5,14,5.03668,2.04436
6,14,5.03668,1.98386
7,14,5.03668,2.02741
8,14,5.03668,2.00779
9,14,5.03668,2.03127
10,14,5.03668,1.96697
1,15,5.03668,3.04747
2,15,5.03668,2.99464
3,15,5.03668,2.9654
4,15,5.03668,3.06031
5,15,5.03668,2.96807
6,15,5.03668,2.91213
7,15,5.03668,3.00282
8,15,5.03668,3.02758
9,15,5.03668,3.0694
10,15,5.03668,3.13987
1,16,5.03668,2.27319
2,16,5.03668,2.24824
3,16,5.03668,2.26571
4,16,5.03668,2.24411
5,16,5.03668,2.34404
6,16,5.03668,2.22939
7,16,5.03668,2.32451
8,16,5.03668,2.30504
9,16,5.03668,2.2105
10,16,5.03668,2.36283
1,17,5.03668,3.75419
2,17,5.03668,3.73097
3,17,5.03668,3.7676
4,17,5.03668,3.81755
5,17,5.03668,3.7907
6,17,5.03668,3.76577
7,17,5.03668,3.75485
8,17,5.03668,3.77162
9,17,5.03668,3.7329
10,17,5.03668,3.8132
1,18,5.03668,3.01811
2,18,5.03668,2.97366
3,18,5.03668,3.01276
4,18,5.03668,3.04381
5,18,5.03668,3.01991
6,18,5.03668,3.02267
7,18,5.03668,3.04063
8,18,5.03668,3.08168
9,18,5.03668,2.94384
10,18,5.03668,3.004
1,19,5.03668,1.58791
2,19,5.03668,1.61549
3,19,5.03668,1.62758
4,19,5.03668,1.6303
5,19,5.03668,1.63537
6,19,5.03668,1.66264
7,19,5.03668,1.67522
8,19,5.03668,1.65003
9,19,5.03668,1.70411
10,19,5.03668,1.61
1,20,5.03668,4.2472
2,20,5.03668,4.17331
3,20,5.03668,4.15724
4,20,5.03668,4.18854
5,20,5.03668,4.19606
6,20,5.03668,4.25941
7,20,5.03668,4.23987
8,20,5.03668,4.23168
9,20,5.03668,4.28505
10,20,5.03668,4.18735
1,21,5.03668,5.77777
2,21,5.03668,5.7944
3,21,5.03668,5.59383
4,21,5.03668,5.62436
5,21,5.03668,5.75832
6,21,5.03668,5.71035
7,21,5.03668,5.73456
8,21,5.03668,5.78015
9,21,5.03668,5.74964
10,21,5.03668,5.77175
1,22,5.03668,4.25446
2,22,5.03668,4.23301
3,22,5.03668,4.17114
4,22,5.03668,4.28887
5,22,5.03668,4.22604
6,22,5.03668,4.21043
7,22,5.03668,4.27347
8,22,5.03668,4.15019
9,22,5.03668,4.2697
10,22,5.03668,4.20043
1,23,5.03668,2.5793
2,23,5.03668,2.60385
3,23,5.03668,2.59439
4,23,5.03668,2.5901
5,23,5.03668,2.54655
6,23,5.03668,2.55369
7,23,5.03668,2.57597
8,23,5.03668,2.60836
9,23,5.03668,2.54154
10,23,5.03668,2.53327
1,24,5.03668,2.3865
2,24,5.03668,2.39128
3,24,5.03668,2.38272
4,24,5.03668,2.38372
5,24,5.03668,2.3074
6,24,5.03668,2.30465
7,24,5.03668,2.34886
8,24,5.03668,2.31129
9,24,5.03668,2.28678
10,24,5.03668,2.33396
1,25,5.03668,2.09469
2,25,5.03668,2.02393
3,25,5.03668,1.99872
4,25,5.03668,1.96533
5,25,5.03668,1.96978
6,25,5.03668,1.99689
7,25,5.03668,2.02368
8,25,5.03668,1.958
9,25,5.03668,1.998
10,25,5.03668,1.96717
1,26,5.03668,4.514
2,26,5.03668,4.52673
3,26,5.03668,4.53217
4,26,5.03668,4.5103
5,26,5.03668,4.52123
6,26,5.03668,4.53089
7,26,5.03668,4.51481
8,26,5.03668,4.47238
9,26,5.03668,4.56381
10,26,5.03668,4.50836
1,27,5.03668,1.65628
2,27,5.03668,1.6863
3,27,5.03668,1.79675
4,27,5.03668,1.78116
5,27,5.03668,1.70583
6,27,5.03668,1.74999
7,27,5.03668,1.7042
