rep,id,eta_V,eta_Cl
1,1,0.765647,-0.61557
2,1,0.734046,-0.612522
3,1,0.776034,-0.677965
4,1,0.795499,-0.682581
5,1,0.757897,-0.579185
6,1,0.787178,-0.640377
7,1,0.774574,-0.663557
8,1,0.779268,-0.643645
9,1,0.694779,-0.58028
10,1,0.759105,-0.64669
1,2,0.613107,-0.0745543
2,2,0.660242,-0.0648321
3,2,0.627956,-0.0753709
4,2,0.657295,-0.0529368
5,2,0.598609,-0.0550404
6,2,0.592923,-0.0779105
7,2,0.61365,-0.0532582
8,2,0.624757,-0.0342733
9,2,0.619102,-0.0433949
10,2,0.626027,-0.0504306
1,3,-0.50082,0.00509095
2,3,-0.504132,0.00158208
3,3,-0.510943,-0.0027112
4,3,-0.442062,0.0374487
5,3,-0.467533,0.025176
6,3,-0.524498,-0.0178265
7,3,-0.455808,0.0350412
8,3,-0.505925,0.00481552
9,3,-0.488845,0.0175585
10,3,-0.485713,0.018717
1,4,0.216319,0.172852
2,4,0.161676,0.141981
3,4,0.184072,0.15577
4,4,0.142029,0.137435
5,4,0.23948,0.180348
6,4,0.152432,0.127471
7,4,0.176689,0.135907
8,4,0.219576,0.159241
9,4,0.164557,0.145359
10,4,0.20357,0.167902
1,5,0.0497647,-0.579242
2,5,0.0880699,-0.594235
3,5,0.0717419,-0.576247
4,5,0.129662,-0.546379
5,5,0.0621184,-0.582628
6,5,0.0585036,-0.570172
7,5,0.0549507,-0.56026
8,5,0.0748655,-0.560358
9,5,0.0658715,-0.56636
10,5,0.115605,-0.576565
1,6,-0.163019,0.314503
2,6,-0.173095,0.311363
3,6,-0.144877,0.323714
4,6,-0.142165,0.337381
5,6,-0.170297,0.306873
6,6,-0.190024,0.300207
7,6,-0.141843,0.330971
8,6,-0.218611,0.285908
9,6,-0.175303,0.316023
10,6,-0.175883,0.310238
1,7,-0.384131,0.441142
2,7,-0.357691,0.461308
3,7,-0.338737,0.475034
4,7,-0.359578,0.467978
5,7,-0.348448,0.459105
6,7,-0.358739,0.456297
7,7,-0.356262,0.464804
8,7,-0.364883,0.456197
9,7,-0.364507,0.460594
10,7,-0.346014,0.475276
1,8,0.204323,0.551468
2,8,0.223208,0.57074
3,8,0.254629,0.590112
4,8,0.245431,0.576737
5,8,0.240167,0.57843
6,8,0.270865,0.596279
7,8,0.23283,0.583163
8,8,0.228874,0.567374
9,8,0.223778,0.562217
10,8,0.26445,0.592892
1,9,0.023147,-0.0788754
2,9,0.0323965,-0.072946
3,9,0.000985084,-0.067618
4,9,0.0151905,-0.0607596
5,9,0.0562374,-0.0631576
6,9,0.0391874,-0.0575919
7,9,0.0152959,-0.0752385
8,9,-0.0119271,-0.0901103
9,9,-0.00303445,-0.0705825
10,9,0.0395606,-0.0670448
1,10,0.158567,-0.153627
2,10,0.162148,-0.15445
3,10,0.132468,-0.179458
4,10,0.132344,-0.178357
5,10,0.122726,-0.192329
6,10,0.118084,-0.158331
7,10,0.116255,-0.178377
8,10,0.13215,-0.154978
9,10,0.16359,-0.173826
10,10,0.159794,-0.166532
1,11,-0.317685,-0.475045
2,11,-0.342127,-0.463085
3,11,-0.370027,-0.486293
