rep,id,V,Cl
1,1,11.1308,1.5001
2,1,11.2264,1.60125
3,1,11.6424,1.37188
4,1,11.682,1.50761
5,1,11.4448,1.49218
6,1,11.1618,1.56042
7,1,11.2953,1.52296
8,1,11.1211,1.51523
9,1,11.5599,1.51014
10,1,11.6381,1.43171
1,2,9.65071,2.61559
2,2,9.82109,2.67239
3,2,9.73367,2.72512
4,2,9.88711,2.68794
5,2,9.52608,2.72923
6,2,10.1897,2.61137
7,2,9.71576,2.64158
8,2,9.72983,2.68127
9,2,9.85061,2.63296
10,2,10.0705,2.70806
1,3,3.2383,2.88485
2,3,3.27221,2.90035
3,3,3.24479,2.90232
4,3,3.35347,2.97615
5,3,3.37698,2.98057
6,3,3.36736,2.95806
7,3,3.25929,2.90417
8,3,3.196,2.87052
9,3,3.21512,2.86814
10,3,3.44228,2.97622
1,4,6.60921,3.37904
2,4,6.57622,3.30531
3,4,6.42727,3.38218
4,4,6.49869,3.33522
5,4,6.32419,3.35867
6,4,6.39281,3.33315
7,4,6.47976,3.36676
8,4,6.32391,3.30928
9,4,6.35892,3.35195
10,4,6.07018,3.25475
1,5,5.80832,1.62389
2,5,6.05724,1.60898
3,5,5.83637,1.63884
4,5,5.60264,1.61797
5,5,5.83211,1.59073
6,5,5.81239,1.61038
7,5,5.56629,1.592
8,5,5.8055,1.58796
9,5,5.59715,1.61091
10,5,5.86921,1.63484
1,6,4.38231,3.85874
2,6,4.32825,3.79336
3,6,4.5728,3.94491
4,6,4.32825,3.79409
5,6,4.38096,3.86955
6,6,4.33659,3.8175
7,6,4.38307,3.84071
8,6,4.48696,3.93052
9,6,4.46438,3.88231
10,6,4.43447,3.88275
1,7,3.51897,4.36957
2,7,3.77836,4.58279
3,7,3.61598,4.49235
4,7,3.71489,4.55011
5,7,3.6889,4.52023
6,7,3.81635,4.66173
7,7,3.70856,4.54513
8,7,3.68774,4.51911
9,7,3.56694,4.39769
10,7,3.67861,4.5482
1,8,6.53273,4.95276
2,8,6.63434,5.04876
3,8,6.81056,5.0916
4,8,6.8564,5.13168
5,8,6.56763,4.99031
6,8,6.66547,5.01186
7,8,6.36762,4.89925
8,8,6.76605,5.09724
9,8,6.69954,5.08888
10,8,6.81649,5.14857
1,9,5.13607,2.5953
2,9,5.15661,2.60974
3,9,5.25397,2.6277
4,9,5.42175,2.64625
5,9,5.40047,2.6693
6,9,5.20896,2.61765
7,9,5.46549,2.69359
8,9,5.4112,2.63449
9,9,5.64408,2.69747
10,9,5.34193,2.67882
1,10,5.98024,2.42437
2,10,6.20353,2.44615
3,10,6.2865,2.46006
4,10,5.88995,2.38763
5,10,6.21969,2.44246
6,10,6.09781,2.35812
7,10,6.16362,2.4415
8,10,6.00478,2.39936
9,10,6.02675,2.37951
10,10,5.92927,2.37053
1,11,3.68921,1.77935
2,11,3.69033,1.76832
3,11,3.82431,1.8104
4,11,3.66774,1.77072
5,11,3.87962,1.80928
6,11,3.72294,1.7774
7,11,3.66463,1.75273
8,11,3.87514,1.80389
9,11,3.77292,1.78238
10,11,3.848,1.77993
1,12,4.8377,4.32824
2,12,4.87657,4.38288
3,12,4.8173,4.33998
4,12,4.69359,4.27702
5,12,4.7358,4.25478
6,12,4.66419,4.24874
7,12,4.7518,4.27738
8,12,4.68917,4.2392
9,12,4.78177,4.31394
10,12,4.60668,4.21635
1,13,4.86677,1.69007
2,13,4.868,1.7141
3,13,4.71074,1.73065
4,13,4.91485,1.69492
5,13,4.77743,1.70421
6,13,4.79815,1.6922
7,13,4.93124,1.69934
8,13,4.70767,1.69896
9,13,4.75891,1.70948
10,13,5.02593,1.65817
1,14,6.07817,2.05534
2,14,5.73333,2.01612
3,14,5.70251,2.07997
4,14,5.81661,2.07469
5,14,5.81035,2.06291
6,14,6.07024,2.03068
7,14,5.99185,2.06966
8,14,5.69064,2.0308
9,14,5.97774,2.07811
10,14,5.77565,2.04665
1,15,6.11938,3.3169
2,15,6.40774,3.35086
3,15,6.39212,3.36212
4,15,6.33289,3.3807
5,15,6.34182,3.43059
6,15,6.45381,3.40514
7,15,6.09876,3.30513
8,15,6.41823,3.39834
9,15,6.20118,3.33938
10,15,6.38391,3.42434
1,16,9.13047,2.63534
2,16,8.88123,2.62157
3,16,8.89625,2.69186
4,16,8.58969,2.73297
5,16,8.95762,2.59324
6,16,8.61316,2.61921
7,16,8.7488,2.64476
8,16,8.70351,2.63042
9,16,9.03589,2.59336
10,16,8.88225,2.59279
1,17,3.34384,2.93766
2,17,3.17596,2.83249
3,17,3.22398,2.8782
4,17,3.1157,2.78852
5,17,3.01928,2.73845
6,17,3.02303,2.7482
7,17,3.10209,2.81866
8,17,3.03011,2.74191
9,17,3.13077,2.80828
10,17,3.16329,2.85897
1,18,6.13838,3.26029
2,18,6.43238,3.35649
3,18,6.41993,3.35491
4,18,6.17127,3.3104
5,18,6.23741,3.31157
6,18,6.36527,3.31528
7,18,6.39189,3.36033
8,18,6.21904,3.34863
9,18,6.27476,3.31971
10,18,6.08032,3.28493
1,19,5.89214,1.57111
2,19,5.97068,1.59866
3,19,6.15708,1.61394
4,19,6.00486,1.58392
5,19,6.1339,1.57753
6,19,6.05008,1.60265
7,19,6.18846,1.6731
8,19,6.1383,1.58477
9,19,6.19631,1.60832
10,19,6.15296,1.59775
1,20,4.79075,4.05634
2,20,4.49902,3.88635
3,20,4.56062,3.89764
4,20,4.43965,3.89142
5,20,4.47229,3.89432
6,20,4.60697,3.92897
7,20,4.6203,3.96852
8,20,4.67836,4.0019
9,20,4.40273,3.84023
10,20,4.46289,3.85803
1,21,3.57895,4.43625
2,21,3.69111,4.52563
3,21,3.56198,4.40766
4,21,3.53332,4.40056
5,21,3.6381,4.45837
6,21,3.58513,4.4386
7,21,3.4937,4.35056
8,21,3.66215,4.50625
9,21,3.69716,4.54786
10,21,3.56844,4.43183
1,22,6.74372,5.08747
2,22,6.60724,4.97283
3,22,6.4873,4.90804
4,22,6.85672,5.13258
5,22,6.36456,4.92022
6,22,6.57487,4.98277
7,22,6.57908,5.01552
8,22,6.60026,5.02856
9,22,6.62318,5.00075
10,22,6.3847,4.88023
1,23,5.55329,2.65858
2,23,5.27997,2.61459
3,23,5.63071,2.70168
4,23,5.4193,2.69776
5,23,5.59781,2.65162
6,23,5.41992,2.65461
7,23,5.56319,2.66482
8,23,5.55986,2.66806
9,23,5.59684,2.66967
10,23,5.43664,2.62474
1,24,6.51453,2.53752
2,24,6.26842,2.45959
3,24,6.44081,2.493
4,24,6.59901,2.54262
5,24,6.31568,2.43197
6,24,6.23557,2.47521
7,24,6.42984,2.52852
8,24,6.72328,2.53732
9,24,6.31714,2.50738
10,24,6.05701,2.45588
1,25,3.66687,1.81034
2,25,3.63566,1.81943
3,25,3.60377,1.76204
4,25,3.74582,1.82894
5,25,3.81832,1.81973
6,25,3.96167,1.87005
7,25,3.90361,1.82879
8,25,3.78693,1.81771
9,25,3.93854,1.86814
10,25,3.90207,1.82656
1,26,5.01279,4.46704
2,26,4.83735,4.38636
3,26,4.81558,4.39741
4,26,4.88825,4.40145
5,26,4.79831,4.32902
6,26,4.85095,4.35836
7,26,4.83162,4.37508
8,26,4.73617,4.3
9,26,4.79617,4.40164
10,26,4.92169,4.46176
1,27,4.75283,1.65397
2,27,4.81549,1.69841
3,27,4.85329,1.70723
4,27,4.76336,1.67661
5,27,5.02793,1.7021
6,27,5.00645,1.70028
7,27,4.78524,1.68938
8,27,4.84644,1.66501
9,27,4.53706,1.65195
10,27,4.79334,1.67628
1,28,5.99042,2.07647
2,28,6.01028,2.06442
3,28,5.96941,2.0724
4,28,5.88824,2.08401
5,28,5.87226,2.04174
6,28,5.90613,2.08653
7,28,6.02965,2.14468
8,28,5.94056,2.0902
9,28,5.56907,2.02824
10,28,5.97059,2.06945
1,29,6.24485,3.49362
2,29,6.31711,3.47529
3,29,6.04807,3.38527
4,29,6.25891,3.47831
5,29,6.31358,3.48888
6,29,6.32573,3.45789
7,29,6.27046,3.42029
8,29,6.12932,3.43978
9,29,6.05653,3.37273
10,29,6.29177,3.4839
1,30,4.56834,3.60126
2,30,4.59958,3.68263
3,30,4.56647,3.63656
4,30,4.70284,3.70921
5,30,4.65498,3.65968
6,30,4.60401,3.67271
7,30,4.59064,3.70157
8,30,4.53247,3.60326
9,30,4.49231,3.61201
10,30,4.57011,3.61768
1,31,3.47126,3.03278
2,31,3.36548,2.97607
3,31,3.43809,3.01884
4,31,3.43143,2.97769
5,31,3.34054,2.95194
6,31,3.48304,2.98112
7,31,3.39729,2.94577
8,31,3.49375,3.03087
9,31,3.37663,2.93706
10,31,3.36275,2.95058
1,32,6.41303,3.31602
2,32,6.46568,3.33249
3,32,6.97087,3.44895
4,32,6.67554,3.32035
5,32,6.80609,3.37566
6,32,6.69497,3.37398
7,32,6.35143,3.33598
8,32,6.65255,3.40231
9,32,6.36124,3.33695
10,32,6.63488,3.33845
1,33,5.98192,1.61777
2,33,6.13642,1.62354
3,33,6.29836,1.65339
4,33,6.09899,1.6598
5,33,5.90594,1.66325
6,33,6.10321,1.59547
7,33,6.1562,1.62894
8,33,6.00207,1.66245
9,33,6.24907,1.60054
10,33,5.95325,1.66625
1,34,4.29891,3.82752
2,34,4.08715,3.72539
3,34,4.38766,3.858
4,34,4.102,3.71957
5,34,4.11438,3.71675
6,34,4.22801,3.78245
7,34,4.03325,3.66932
8,34,4.3843,3.89656
9,34,4.53041,3.97243
10,34,4.20471,3.77134
1,35,3.94627,4.79873
2,35,3.88531,4.73158
3,35,3.75128,4.60044
4,35,3.91084,4.73359
5,35,3.70126,4.55265
6,35,3.98108,4.81125
7,35,3.71395,4.57264
8,35,3.98108,4.79309
9,35,3.87145,4.72274
10,35,3.87835,4.70768
1,36,7.20235,5.32926
2,36,7.47894,5.42729
3,36,7.27524,5.31165
4,36,7.01357,5.15601
5,36,7.32727,5.35143
6,36,6.65981,5.0458
7,36,7.21484,5.28542
8,36,6.86741,5.1216
9,36,7.25743,5.30436
10,36,7.26152,5.2741
1,37,5.42403,2.65435
2,37,5.66003,2.71361
3,37,5.15668,2.57681
4,37,5.47289,2.69074
5,37,5.55446,2.68037
6,37,5.53475,2.6244
7,37,5.23605,2.60208
8,37,5.59457,2.71125
9,37,5.41711,2.65637
10,37,5.5234,2.70832
1,38,6.56313,2.39956
2,38,6.27141,2.45245
3,38,6.21272,2.43573
4,38,6.27437,2.43494
5,38,6.8308,2.4572
6,38,6.41198,2.42423
7,38,6.26987,2.43983
8,38,6.23225,2.41368
9,38,6.50846,2.45389
10,38,6.51859,2.44824
1,39,3.99299,1.84037
2,39,3.88727,1.85701
3,39,3.96892,1.86353
4,39,3.84026,1.83616
5,39,3.85278,1.84453
6,39,3.68921,1.78871
7,39,3.87774,1.82029
8,39,3.64006,1.78989
9,39,3.88567,1.81575
10,39,3.9828,1.83189
1,40,4.55903,4.1477
2,40,4.71215,4.2573
3,40,4.68424,4.22528
4,40,4.76062,4.27305
5,40,4.83645,4.34666
6,40,4.55805,4.17123
7,40,4.7654,4.30777
8,40,4.6565,4.24757
9,40,4.69641,4.2603
10,40,4.62416,4.19247
1,41,4.9999,1.69766
2,41,4.96278,1.70385
3,41,5.11382,1.73457
4,41,5.00126,1.72294
5,41,4.8669,1.68071
6,41,4.84612,1.67951
7,41,5.27509,1.67845
8,41,5.00233,1.69554
9,41,4.98321,1.69622
10,41,4.99207,1.70273
1,42,5.39202,2.04775
2,42,5.38189,2.02466
3,42,5.25566,2.00667
4,42,5.59874,2.01569
5,42,5.48251,2.02266
6,42,5.51607,2.06012
7,42,5.59595,2.02315
8,42,5.4852,2.00168
9,42,5.46205,2.07415
10,42,5.71669,2.02383
1,43,6.39357,3.40873
2,43,6.35138,3.38787
3,43,6.61737,3.47291
4,43,6.63793,3.52741
5,43,6.76685,3.56724
6,43,6.34618,3.44876
7,43,6.49922,3.46188
8,43,6.31484,3.43037
9,43,6.69692,3.55365
10,43,6.65072,3.51848
1,44,4.34124,3.57873
2,44,4.39766,3.57644
3,44,4.26907,3.49101
4,44,4.26343,3.51124
5,44,4.36699,3.54401
6,44,4.27744,3.48605
7,44,4.5457,3.63207
8,44,4.25121,3.47919
9,44,4.57573,3.65239
10,44,4.37736,3.58733
1,45,3.73065,3.12039
2,45,3.69297,3.08458
3,45,3.7544,3.09246
4,45,3.91621,3.21879
5,45,3.74651,3.12378
6,45,3.90349,3.20124
7,45,3.78689,3.1659
8,45,3.79788,3.13485
9,45,3.74991,3.12787
10,45,3.85938,3.1399
