id,importanceSampling
1,-262.898423
2,-308.147564
3,-344.917418
4,-288.557905
5,-159.067840
6,-333.825218
7,-380.544601
8,-286.795172
9,-304.636071
10,-299.249062
11,-216.575557
12,-326.171518
13,-181.194251
14,-276.572364
15,-288.535509
16,-238.095618
17,-278.875978
18,-223.112178
19,-96.992968
20,-259.988166
21,-313.275797
22,-219.362688
23,-234.826099
24,-233.394813
25,-158.315701
26,-252.889034
27,-106.022654
28,-209.607328
29,-219.969686
30,-253.673266
31,-234.562200
32,-177.006126
33,-70.170903
34,-227.110933
35,-266.332757
36,-169.268570
37,-195.020597
38,-192.415751
39,-123.691917
40,-218.412735
41,-76.867240
42,-164.368585
43,-174.578305
44,-214.023351
45,-226.105942
