rep,id,V,Cl
1,1,5.80528,2.80143
2,1,5.81572,2.80143
3,1,5.98095,2.80143
4,1,5.86942,2.80143
5,1,5.83395,2.80143
6,1,5.82561,2.80143
7,1,5.84369,2.80143
8,1,5.83642,2.80143
9,1,5.8661,2.80143
10,1,5.9024,2.80143
1,2,6.54284,2.80143
2,2,6.24503,2.80143
3,2,6.36346,2.80143
4,2,6.353,2.80143
5,2,6.34462,2.80143
6,2,6.41088,2.80143
7,2,6.54552,2.80143
8,2,6.21183,2.80143
9,2,6.07936,2.80143
10,2,6.33643,2.80143
1,3,8.29926,2.80143
2,3,8.41173,2.80143
3,3,8.44596,2.80143
4,3,8.22779,2.80143
5,3,8.35643,2.80143
6,3,8.28775,2.80143
7,3,8.56316,2.80143
8,3,8.34166,2.80143
9,3,8.3758,2.80143
10,3,8.47072,2.80143
1,4,5.09321,2.80143
2,4,4.90589,2.80143
3,4,4.95397,2.80143
4,4,4.89233,2.80143
5,4,4.92147,2.80143
6,4,5.06566,2.80143
7,4,4.94652,2.80143
8,4,5.03391,2.80143
9,4,5.07818,2.80143
10,4,5.0445,2.80143
1,5,4.02833,2.80143
2,5,4.02038,2.80143
3,5,4.01273,2.80143
4,5,4.00955,2.80143
5,5,3.97901,2.80143
6,5,4.00247,2.80143
7,5,4.08483,2.80143
8,5,3.94674,2.80143
9,5,3.97814,2.80143
10,5,4.02546,2.80143
1,6,5.67243,2.80143
2,6,5.62797,2.80143
3,6,5.51237,2.80143
4,6,5.61497,2.80143
5,6,5.60332,2.80143
6,6,5.7313,2.80143
7,6,5.83184,2.80143
8,6,5.76604,2.80143
9,6,5.69986,2.80143
10,6,5.82238,2.80143
1,7,6.99767,2.80143
2,7,6.97353,2.80143
3,7,6.88624,2.80143
4,7,6.87158,2.80143
5,7,6.72672,2.80143
6,7,6.64894,2.80143
7,7,6.93015,2.80143
8,7,6.79301,2.80143
9,7,6.85954,2.80143
10,7,6.86506,2.80143
1,8,9.59293,2.80143
2,8,9.13238,2.80143
3,8,9.22074,2.80143
4,8,9.43683,2.80143
5,8,9.23171,2.80143
6,8,9.37736,2.80143
7,8,9.48371,2.80143
8,8,9.19011,2.80143
9,8,9.22967,2.80143
10,8,9.12762,2.80143
1,9,3.56719,2.80143
2,9,3.55588,2.80143
3,9,3.52018,2.80143
4,9,3.56056,2.80143
5,9,3.59263,2.80143
6,9,3.50739,2.80143
7,9,3.52983,2.80143
8,9,3.58064,2.80143
9,9,3.56084,2.80143
10,9,3.53624,2.80143
1,10,5.9088,2.80143
2,10,5.89146,2.80143
3,10,5.85856,2.80143
4,10,5.67801,2.80143
5,10,5.97049,2.80143
6,10,5.79386,2.80143
7,10,6.03232,2.80143
8,10,5.88422,2.80143
9,10,5.86721,2.80143
10,10,5.71043,2.80143
1,11,4.4156,2.80143
2,11,4.49025,2.80143
3,11,4.4152,2.80143
4,11,4.46348,2.80143
5,11,4.40503,2.80143
6,11,4.43266,2.80143
7,11,4.39346,2.80143
8,11,4.37382,2.80143
9,11,4.3761,2.80143
10,11,4.42641,2.80143
1,12,9.33331,2.80143
2,12,9.11505,2.80143
3,12,8.67406,2.80143
4,12,9.51985,2.80143
5,12,8.84941,2.80143
6,12,9.06469,2.80143
7,12,9.23379,2.80143
8,12,9.08125,2.80143
9,12,9.42889,2.80143
10,12,9.21351,2.80143
1,13,7.73599,2.80143
2,13,8.01012,2.80143
3,13,7.91582,2.80143
4,13,7.63203,2.80143
5,13,7.80428,2.80143
6,13,8.01243,2.80143
7,13,8.01892,2.80143
8,13,7.65516,2.80143
9,13,7.74541,2.80143
10,13,7.99512,2.80143
1,14,6.5885,2.80143
2,14,6.33061,2.80143
3,14,6.33753,2.80143
4,14,6.32451,2.80143
5,14,6.2536,2.80143
6,14,6.45413,2.80143
7,14,6.7218,2.80143
8,14,6.33967,2.80143
9,14,6.5595,2.80143
10,14,6.31853,2.80143
1,15,4.93311,2.80143
2,15,4.85322,2.80143
3,15,4.83926,2.80143
4,15,4.94193,2.80143
5,15,4.84233,2.80143
6,15,4.96788,2.80143
7,15,4.95736,2.80143
8,15,4.9221,2.80143
9,15,4.81996,2.80143
10,15,4.96701,2.80143
1,16,6.28284,2.80143
2,16,6.36817,2.80143
3,16,6.38512,2.80143
4,16,6.2184,2.80143
5,16,6.44219,2.80143
6,16,6.32709,2.80143
7,16,6.51052,2.80143
8,16,6.18854,2.80143
9,16,6.29631,2.80143
10,16,6.2112,2.80143
1,17,8.17695,2.80143
2,17,8.61993,2.80143
3,17,8.22661,2.80143
4,17,8.53967,2.80143
5,17,8.44665,2.80143
6,17,8.30122,2.80143
7,17,8.64195,2.80143
8,17,8.4641,2.80143
9,17,8.4198,2.80143
10,17,8.32755,2.80143
1,18,5.02271,2.80143
2,18,4.94181,2.80143
3,18,5.08303,2.80143
4,18,4.93446,2.80143
5,18,4.88416,2.80143
6,18,4.94815,2.80143
7,18,4.95761,2.80143
8,18,5.00347,2.80143
9,18,5.02792,2.80143
10,18,5.00791,2.80143
1,19,3.96959,2.80143
2,19,3.87697,2.80143
3,19,4.05464,2.80143
4,19,3.92227,2.80143
5,19,3.87272,2.80143
6,19,3.93042,2.80143
7,19,3.89229,2.80143
8,19,3.90228,2.80143
9,19,3.96162,2.80143
10,19,3.93737,2.80143
1,20,5.70664,2.80143
2,20,5.55997,2.80143
3,20,5.58386,2.80143
4,20,5.63493,2.80143
5,20,5.67127,2.80143
6,20,5.69575,2.80143
7,20,5.55311,2.80143
8,20,5.61783,2.80143
9,20,5.5228,2.80143
10,20,5.67017,2.80143
1,21,6.76667,2.80143
2,21,7.20252,2.80143
3,21,7.1675,2.80143
4,21,6.74597,2.80143
5,21,7.03444,2.80143
6,21,6.77992,2.80143
7,21,7.18307,2.80143
8,21,7.17299,2.80143
9,21,6.91528,2.80143
10,21,6.90804,2.80143
1,22,9.445,2.80143
2,22,9.0019,2.80143
3,22,9.56058,2.80143
4,22,9.01955,2.80143
5,22,9.7587,2.80143
6,22,9.02093,2.80143
7,22,8.98838,2.80143
8,22,9.39087,2.80143
9,22,9.0875,2.80143
10,22,9.63329,2.80143
1,23,3.62645,2.80143
2,23,3.63783,2.80143
3,23,3.61486,2.80143
4,23,3.60184,2.80143
5,23,3.66967,2.80143
6,23,3.60507,2.80143
7,23,3.66967,2.80143
8,23,3.63154,2.80143
9,23,3.67178,2.80143
10,23,3.63154,2.80143
1,24,5.50848,2.80143
2,24,5.63376,2.80143
3,24,5.59735,2.80143
4,24,5.67364,2.80143
5,24,5.72279,2.80143
6,24,5.48654,2.80143
7,24,5.74669,2.80143
8,24,5.46706,2.80143
9,24,5.56646,2.80143
10,24,5.69006,2.80143
1,25,4.36457,2.80143
2,25,4.3792,2.80143
3,25,4.30977,2.80143
4,25,4.33892,2.80143
5,25,4.3559,2.80143
6,25,4.42897,2.80143
7,25,4.37894,2.80143
8,25,4.35747,2.80143
9,25,4.34869,2.80143
10,25,4.33448,2.80143
1,26,8.55038,2.80143
2,26,8.01011,2.80143
3,26,8.57037,2.80143
4,26,8.40316,2.80143
5,26,8.20957,2.80143
6,26,8.62817,2.80143
7,26,8.31404,2.80143
8,26,8.10582,2.80143
9,26,8.73628,2.80143
10,26,8.63616,2.80143
1,27,8.01197,2.80143
2,27,7.87557,2.80143
3,27,7.87003,2.80143
4,27,7.656,2.80143
5,27,7.78304,2.80143
6,27,7.72302,2.80143
7,27,7.9053,2.80143
8,27,7.62843,2.80143
9,27,8.17764,2.80143
10,27,8.31515,2.80143
1,28,6.38117,2.80143
2,28,6.40508,2.80143
3,28,6.46395,2.80143
4,28,6.59224,2.80143
5,28,6.44036,2.80143
6,28,6.64413,2.80143
7,28,6.41464,2.80143
8,28,6.48611,2.80143
9,28,6.35015,2.80143
10,28,6.32094,2.80143
1,29,5.00212,2.80143
2,29,5.04715,2.80143
3,29,4.99433,2.80143
4,29,5.00201,2.80143
5,29,4.98213,2.80143
6,29,4.96506,2.80143
7,29,5.03763,2.80143
8,29,4.93833,2.80143
9,29,4.95139,2.80143
10,29,5.04945,2.80143
1,30,7.49579,2.80143
2,30,7.30893,2.80143
3,30,7.40454,2.80143
4,30,7.27053,2.80143
5,30,7.25801,2.80143
6,30,7.16827,2.80143
7,30,7.12262,2.80143
8,30,7.34715,2.80143
9,30,7.27017,2.80143
10,30,6.93789,2.80143
1,31,8.14284,2.80143
2,31,8.39791,2.80143
3,31,8.61591,2.80143
4,31,8.39026,2.80143
5,31,7.90316,2.80143
6,31,8.45541,2.80143
7,31,8.26982,2.80143
8,31,8.45222,2.80143
9,31,8.77684,2.80143
10,31,8.28091,2.80143
1,32,4.79768,2.80143
2,32,4.80221,2.80143
3,32,4.93488,2.80143
4,32,4.88765,2.80143
5,32,4.72879,2.80143
6,32,4.78699,2.80143
7,32,4.74308,2.80143
8,32,4.87898,2.80143
9,32,4.72864,2.80143
10,32,4.75649,2.80143
1,33,3.93337,2.80143
2,33,3.90786,2.80143
3,33,3.90608,2.80143
4,33,3.89616,2.80143
5,33,3.91614,2.80143
6,33,3.8892,2.80143
7,33,3.93338,2.80143
8,33,3.86665,2.80143
9,33,3.90893,2.80143
10,33,4.01552,2.80143
1,34,5.78844,2.80143
2,34,5.71632,2.80143
3,34,5.65706,2.80143
4,34,5.62362,2.80143
5,34,5.76386,2.80143
6,34,5.57007,2.80143
7,34,5.46941,2.80143
8,34,5.78793,2.80143
9,34,5.76252,2.80143
10,34,5.52771,2.80143
1,35,6.89424,2.80143
2,35,6.829,2.80143
3,35,6.77632,2.80143
4,35,6.88966,2.80143
5,35,6.93143,2.80143
6,35,7.07198,2.80143
7,35,7.01822,2.80143
8,35,6.7907,2.80143
9,35,7.0569,2.80143
10,35,7.08399,2.80143
1,36,9.36153,2.80143
2,36,8.88315,2.80143
3,36,9.16744,2.80143
4,36,9.33401,2.80143
5,36,9.0681,2.80143
6,36,9.42809,2.80143
7,36,9.18559,2.80143
8,36,9.2103,2.80143
9,36,8.98805,2.80143
10,36,9.11626,2.80143
1,37,3.60163,2.80143
2,37,3.5773,2.80143
3,37,3.60163,2.80143
4,37,3.53494,2.80143
5,37,3.59946,2.80143
6,37,3.58437,2.80143
7,37,3.56919,2.80143
8,37,3.58018,2.80143
9,37,3.56919,2.80143
10,37,3.61393,2.80143
1,38,5.45356,2.80143
2,38,5.44886,2.80143
3,38,5.53612,2.80143
4,38,5.38986,2.80143
