id,importanceSampling
1,-269.403809
2,-238.715578
3,-273.928761
4,-281.956234
5,-276.557491
6,-250.021478
7,-296.869515
8,-244.239967
9,-301.509889
10,-271.662142
11,-288.916922
12,-99.085668
13,-285.690039
14,-159.288391
15,-288.975060
16,-166.278393
17,-206.348667
18,-215.799390
19,-207.169904
20,-177.770997
21,-227.393350
22,-164.450437
23,-231.152229
24,-201.560228
25,-218.893075
26,-38.985951
27,-212.703320
28,-70.743904
29,-220.019257
30,-159.393743
31,-167.847177
32,-175.507371
33,-170.288818
34,-137.064749
35,-187.718757
36,-139.065542
37,-191.033547
38,-156.096922
39,-171.630501
40,12.159763
41,-172.636972
42,-48.215151
43,-175.793705
44,-118.776606
45,-185.609114
